#       P [bar]       C/O       [O]       [C]
     3.2557E+01     0.315     3.283     3.041
     1.9865E+01     0.315     3.283     3.041
     1.2121E+01     0.315     3.283     3.041
     7.3962E+00     0.315     3.283     3.041
     4.5130E+00     0.315     3.283     3.041
     2.7537E+00     0.315     3.283     3.041
     1.6803E+00     0.315     3.283     3.041
     1.0253E+00     0.315     3.283     3.041
     6.2559E-01     0.315     3.283     3.041
     3.8172E-01     0.315     3.283     3.041
     2.3292E-01     0.315     3.283     3.041
     1.4212E-01     0.315     3.283     3.041
     8.6719E-02     0.315     3.283     3.041
     5.2914E-02     0.315     3.283     3.041
     3.2287E-02     0.315     3.283     3.041
     1.9701E-02     0.315     3.283     3.041
     1.2021E-02     0.315     3.283     3.041
     7.3349E-03     0.315     3.283     3.041
     4.4756E-03     0.315     3.283     3.041
     2.7309E-03     0.315     3.283     3.041
     1.6663E-03     0.315     3.283     3.041
     1.0168E-03     0.315     3.283     3.041
     6.2041E-04     0.315     3.283     3.041
     3.7856E-04     0.315     3.283     3.041
     2.3099E-04     0.315     3.283     3.041
     1.4094E-04     0.315     3.283     3.041
     8.6001E-05     0.315     3.283     3.041
     5.2476E-05     0.315     3.283     3.041
     3.2020E-05     0.315     3.283     3.041
     1.9538E-05     0.315     3.283     3.041
     1.1921E-05     0.315     3.283     3.041
     7.2742E-06     0.315     3.283     3.041
     4.4386E-06     0.315     3.283     3.041
     2.7083E-06     0.315     3.283     3.041
     1.6526E-06     0.315     3.283     3.041
     1.0083E-06     0.315     3.283     3.041
     6.1527E-07     0.315     3.283     3.041
     3.7543E-07     0.315     3.283     3.041
     2.2908E-07     0.315     3.283     3.041
     1.3978E-07     0.315     3.283     3.041
     8.5289E-08     0.315     3.283     3.041
     5.2041E-08     0.315     3.283     3.041
     3.1755E-08     0.315     3.283     3.041
     1.9376E-08     0.315     3.283     3.041
     1.1823E-08     0.315     3.283     3.041
     7.2140E-09     0.315     3.283     3.041
     4.4018E-09     0.315     3.283     3.041
     2.6859E-09     0.315     3.283     3.041
     1.6389E-09     0.315     3.283     3.041
     1.0000E-09     0.315     3.283     3.041
