# pmax       H2          H2O         CO2         CH4         NH3         N2          Rp          Mp          Tpoint001   Tpoint002   Tpoint003   Tpoint004   Tpoint005   Tpoint006   Ppoint002   Ppoint003   Ppoint004   Ppoint005           C/O         [Z]        Teff         MMW
  2.3172E+00 -6.4949E+00  2.9212E+00  2.6142E+00  1.6977E+00 -5.6551E-01  2.7392E+00  8.4581E-02  3.3928E-03  2.7192E+00  1.6693E+00  1.7339E+00  2.2563E+00  2.3468E+00  3.8268E+00 -8.3204E+00 -4.4613E+00 -4.4472E+00 -1.8062E+00  4.6299E-01  3.5430E+00  2.1617E+02  3.5333E+01
 -6.2080E-01 -3.4918E+00  1.4492E+00  1.3427E+00  4.9487E-01 -1.6611E+00 -1.0719E+00  8.5058E-02  5.2012E-03  2.7435E+00  1.4008E+00  1.2325E+00  2.5073E+00  2.3084E+00  3.9689E+00 -7.5550E+00 -7.5302E+00 -6.5670E+00 -2.3667E+00  2.7839E-01  3.2923E+00  2.1933E+02  2.6542E+01
 -2.4585E+00 -8.2167E+00 -2.2519E-01  1.6309E-01 -8.8688E-01 -3.0658E+00 -4.5210E-01  1.0287E-01  3.1176E-03  2.1387E+00  1.6204E+00  4.9515E-01  2.5161E+00  2.2655E+00  3.9970E+00 -8.0938E+00 -7.9093E+00 -6.8016E+00 -2.4610E+00  3.4839E-01  3.2077E+00  1.9889E+02  2.8429E+01
  2.0092E-01 -5.1331E+00  2.6693E-01  6.5754E-01 -3.6790E-02 -3.2532E+00  7.3034E-01  8.9183E-02  4.4049E-03  2.2407E+00  2.8558E+00  9.2659E-01  2.3328E+00  2.3225E+00  3.7494E+00 -8.5415E+00 -7.6845E+00 -7.2989E+00 -1.9293E+00  4.5211E-01  3.5863E+00  2.1097E+02  3.3988E+01
  7.3554E-01 -8.1990E+00  1.3018E+00  1.9798E+00  1.3078E+00 -1.8744E+00 -5.6414E+00  8.1880E-02  2.9605E-03  6.9450E-01  2.9788E+00  1.2256E+00  2.5271E+00  2.3180E+00  3.8938E+00 -8.6953E+00 -8.1343E+00 -7.6130E+00 -2.2851E+00  4.9948E-01  3.6226E+00  2.1987E+02  3.1192E+01
 -1.7618E+00 -3.4745E+00  8.6761E-01  1.9306E+00  8.5866E-01 -1.1761E+00  1.6712E+00  8.5058E-02  3.7534E-03  2.2522E+00  2.9380E+00  1.5359E+00  2.2823E+00  2.3288E+00  3.9434E+00 -8.4964E+00 -8.0258E+00 -7.7223E+00 -2.1206E+00  5.4881E-01  3.4866E+00  2.2117E+02  3.5730E+01
  5.7137E-01 -1.2880E+00  1.5900E+00  2.2910E+00  1.7162E+00 -1.5482E+00 -3.2740E+00  9.0085E-02  3.0864E-03  1.7638E+00  2.6735E+00  1.3357E+00  2.2984E+00  2.3215E+00  3.7553E+00 -8.5658E+00 -6.4782E+00 -4.7747E+00 -2.2340E+00  5.1988E-01  3.9760E+00  2.0951E+02  3.5943E+01
 -5.4117E-01 -7.9303E+00  1.4213E+00  1.9767E+00  1.3275E+00 -2.1826E+00  4.7407E-01  9.3959E-02  5.3238E-03  1.5497E+00  3.0320E+00  1.1969E+00  2.4163E+00  2.3062E+00  3.9743E+00 -8.6725E+00 -8.1746E+00 -7.4978E+00 -1.8684E+00  5.7579E-01  3.4307E+00  2.0472E+02  3.5133E+01
 -1.9214E+00  9.6449E-01  6.3849E-01  1.2196E+00  4.0358E-01 -2.4386E+00 -4.5270E+00  9.1001E-02  5.0392E-03  2.1824E+00  1.6352E+00  1.6724E+00  2.3489E+00  2.3167E+00  3.9061E+00 -7.8386E+00 -7.3796E+00 -6.8632E+00 -2.1461E+00  5.3735E-01  3.4460E+00  2.1176E+02  3.4623E+01
  2.2656E+00 -1.6413E+00  2.9308E-01  1.5107E+00  5.4971E-01 -2.8394E+00 -6.6829E-01  9.9832E-02  2.8691E-03  1.4043E+00  1.2037E+00  1.8187E+00  2.2484E+00  2.3183E+00  3.9318E+00 -6.8953E+00 -6.6697E+00 -6.3524E+00 -1.7577E+00  5.0954E-01  3.2382E+00  1.9846E+02  2.6348E+01
