#Kzz [cm^2/s]      P [bar]
   5.000E+008   3.007E+000
   5.000E+008   1.926E+000
   5.000E+008   1.234E+000
   5.000E+008   7.903E-001
   5.000E+008   5.062E-001
   5.000E+008   3.243E-001
   5.000E+008   2.077E-001
   5.000E+008   1.331E-001
   5.000E+008   8.524E-002
   5.000E+008   5.460E-002
   5.000E+008   3.498E-002
   5.000E+008   2.240E-002
   5.000E+008   1.435E-002
   5.000E+008   9.193E-003
   5.000E+008   5.889E-003
   5.000E+008   3.772E-003
   5.000E+008   2.416E-003
   5.000E+008   1.548E-003
   5.000E+008   9.916E-004
   5.000E+008   6.352E-004
   5.000E+008   4.069E-004
   5.000E+008   2.606E-004
   5.000E+008   1.670E-004
   5.000E+008   1.069E-004
   5.000E+008   6.851E-005
   5.000E+008   4.388E-005
   5.000E+008   2.811E-005
   5.000E+008   1.801E-005
   5.000E+008   1.154E-005
   5.000E+008   7.389E-006
   5.000E+008   4.733E-006
   5.000E+008   3.032E-006
   5.000E+008   1.942E-006
   5.000E+008   1.244E-006
   5.000E+008   7.970E-007
   5.000E+008   5.105E-007
   5.000E+008   3.270E-007
   5.000E+008   2.095E-007
   5.000E+008   1.342E-007
   5.000E+008   8.596E-008
   5.000E+008   5.506E-008
   5.000E+008   3.527E-008
   5.000E+008   2.259E-008
   5.000E+008   1.447E-008
   5.000E+008   9.271E-009
   5.000E+008   5.939E-009
   5.000E+008   3.804E-009
   5.000E+008   2.437E-009
   5.000E+008   1.561E-009
   5.000E+008   1.000E-009
