#    T [K]      P [bar]     H2O            CO2            CH4            NH3            N2             H2        
   678.129   3.007E+000    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   578.448   1.926E+000    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   497.775   1.234E+000    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   432.425   7.903E-001    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   379.484   5.062E-001    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   336.646   3.243E-001    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   302.098   2.077E-001    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   274.416   1.331E-001    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   252.495   8.524E-002    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   235.490   5.460E-002    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   222.773   3.498E-002    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   213.904   2.240E-002    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   208.609   1.435E-002    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   206.777   9.193E-003    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   206.942   5.889E-003    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   207.447   3.772E-003    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   208.273   2.416E-003    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   209.400   1.548E-003    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   210.813   9.916E-004    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   212.495   6.352E-004    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   214.430   4.069E-004    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   216.602   2.606E-004    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
   218.995   1.670E-004    1.8064E-001    6.9132E-001    1.2716E-001    1.0956E-004    7.6598E-004    4.5520E-009
