#   radius [cm]    height [cm]  dens [g/cm^3]   N [1/cm^3]     T [K]    P [bar]g [cm/s^2]       MMW
 5.6619192E+008   -8.8883E+005    7.6919E-001  2.7366E+022    54.328 2.053E+002  2182.304    16.927
 5.6625259E+008   -8.2815E+005    3.3079E-001  1.1769E+022    74.241 1.206E+002  2181.861    16.927
 5.6635654E+008   -7.2420E+005    1.4513E-001  5.1634E+021    99.445 7.089E+001  2181.075    16.927
 5.6649417E+008   -5.8658E+005    6.5034E-002  2.3138E+021   130.415 4.166E+001  2180.023    16.927
 5.6667250E+008   -4.0825E+005    2.9801E-002  1.0602E+021   167.255 2.448E+001  2178.657    16.927
 5.6689838E+008   -1.8237E+005    1.3981E-002  4.9740E+020   209.517 1.439E+001  2176.924    16.927
 5.6717775E+008    9.7004E+004    6.7225E-003  2.3917E+020   256.062 8.456E+000  2174.781    16.927
 5.6751476E+008    4.3401E+005    3.3172E-003  1.1802E+020   304.961 4.969E+000  2172.200    16.927
 5.6791082E+008    8.3007E+005    1.6817E-003  5.9830E+019   353.517 2.920E+000  2169.172    16.927
 5.6836377E+008    1.2830E+006    8.7691E-004  3.1199E+019   398.413 1.716E+000  2165.717    16.927
 5.6886725E+008    1.7865E+006    4.7089E-004  1.6753E+019   436.017 1.009E+000  2161.885    16.927
 5.6941059E+008    2.3298E+006    2.6070E-004  9.2753E+018   462.821 5.927E-001  2157.761    16.927
 5.6997918E+008    2.8984E+006    1.4899E-004  5.3006E+018   475.940 3.483E-001  2153.458    16.927
 5.7055493E+008    3.4742E+006    8.8143E-005  3.1359E+018   472.766 2.047E-001  2149.114    16.927
 5.7111719E+008    4.0364E+006    5.4195E-005  1.9281E+018   451.867 1.203E-001  2144.885    16.927
 5.7164715E+008    4.5664E+006    3.4431E-005  1.2250E+018   417.982 7.069E-002  2140.910    16.927
 5.7213212E+008    5.0514E+006    2.2456E-005  7.9895E+017   376.617 4.154E-002  2137.282    16.927
 5.7256573E+008    5.4850E+006    1.4939E-005  5.3151E+017   332.697 2.441E-002  2134.046    16.927
 5.7294694E+008    5.8662E+006    1.0072E-005  3.5833E+017   290.011 1.435E-002  2131.207    16.927
 5.7327860E+008    6.1978E+006    6.8366E-006  2.4323E+017   251.079 8.432E-003  2128.742    16.927
 5.7356599E+008    6.4852E+006    4.6424E-006  1.6517E+017   217.293 4.955E-003  2126.609    16.927
 5.7381566E+008    6.7349E+006    3.1332E-006  1.1147E+017   189.206 2.912E-003  2124.759    16.927
 5.7403451E+008    6.9538E+006    2.0882E-006  7.4293E+016   166.836 1.711E-003  2123.139    16.927
 5.7422937E+008    7.1486E+006    1.3654E-006  4.8580E+016   149.940 1.006E-003  2121.699    16.927
 5.7440676E+008    7.3260E+006    8.7035E-007  3.0965E+016   138.241 5.910E-004  2120.388    16.927
 5.7457295E+008    7.4922E+006    5.3730E-007  1.9116E+016   131.599 3.473E-004  2119.162    16.927
 5.7478848E+008    7.7077E+006    1.9053E-007  6.7786E+015   218.094 2.041E-004  2117.573    16.927
 5.7509874E+008    8.0180E+006    8.5734E-008  3.0502E+015   284.831 1.200E-004  2115.289    16.927
 5.7544604E+008    8.3653E+006    5.1711E-008  1.8398E+015   277.521 7.049E-005  2112.736    16.927
 5.7578285E+008    8.7021E+006    3.1562E-008  1.1229E+015   267.204 4.143E-005  2110.265    16.927
 5.7610667E+008    9.0259E+006    1.9367E-008  6.8904E+014   255.909 2.435E-005  2107.894    16.927
 5.7641733E+008    9.3366E+006    1.1869E-008  4.2227E+014   245.401 1.431E-005  2105.622    16.927
 5.7671671E+008    9.6360E+006    7.2168E-009  2.5676E+014   237.178 8.408E-006  2103.437    16.927
 5.7700841E+008    9.9277E+006    4.3254E-009  1.5389E+014   232.559 4.941E-006  2101.310    16.927
 5.7729723E+008    1.0216E+007    2.5475E-009  9.0634E+013   232.050 2.904E-006  2099.208    16.927
 5.7758624E+008    1.0505E+007    1.4947E-009  5.3179E+013   232.416 1.706E-006  2097.108    16.927
 5.7787627E+008    1.0796E+007    8.7544E-010  3.1146E+013   233.206 1.003E-006  2095.004    16.927
 5.7816788E+008    1.1087E+007    5.1164E-010  1.8203E+013   234.496 5.893E-007  2092.891    16.927
 5.7846176E+008    1.1381E+007    2.9830E-010  1.0613E+013   236.369 3.463E-007  2090.765    16.927
 5.7875870E+008    1.1678E+007    1.7343E-010  6.1704E+012   238.914 2.035E-007  2088.620    16.927
 5.7905961E+008    1.1979E+007    1.0053E-010  3.5766E+012   242.226 1.196E-007  2086.450    16.927
 5.7936553E+008    1.2285E+007    5.8074E-011  2.0662E+012   246.413 7.029E-008  2084.247    16.927
 5.7967766E+008    1.2597E+007    3.3425E-011  1.1892E+012   251.598 4.131E-008  2082.003    16.927
 5.7999734E+008    1.2917E+007    1.9162E-011  6.8173E+011   257.921 2.428E-008  2079.709    16.927
 5.8032614E+008    1.3245E+007    1.0938E-011  3.8913E+011   265.544 1.427E-008  2077.353    16.927
 5.8066584E+008    1.3585E+007    6.2144E-012  2.2110E+011   274.657 8.384E-009  2074.923    16.927
 5.8101851E+008    1.3938E+007    3.5135E-012  1.2500E+011   285.487 4.927E-009  2072.405    16.927
 5.8138651E+008    1.4306E+007    1.9761E-012  7.0305E+010   298.303 2.896E-009  2069.782    16.927
 5.8177264E+008    1.4692E+007    1.1052E-012  3.9322E+010   313.430 1.702E-009  2067.035    16.927
 5.8207535E+008    1.4995E+007    6.1456E-013  2.1865E+010   331.261 1.000E-009  2064.886    16.927
