#  lambda [mu]  total average tau
    6.030151      0.6257597E+05
    6.090755      0.1569101E+06
    6.151969      0.3362724E+06
    6.213798      0.2079563E+06
    6.276248      0.1170237E+06
    6.339326      0.9447712E+05
    6.403038      0.9922339E+05
    6.467390      0.1108535E+06
    6.532389      0.1343672E+06
    6.598041      0.1382874E+06
    6.664353      0.1399666E+06
    6.731331      0.1336073E+06
    6.798983      0.1086725E+06
    6.867314      0.9385575E+05
    6.936333      0.8071732E+05
    7.006044      0.7019861E+05
    7.076457      0.8384786E+05
    7.147577      0.8167430E+05
    7.219412      0.1173595E+06
    7.291969      0.1892745E+06
    7.365255      0.2543435E+06
    7.439278      0.2472330E+06
    7.514044      0.1794699E+06
    7.589562      0.6727518E+05
    7.665839      0.5366724E+06
    7.742883      0.3128668E+06
    7.820701      0.1989326E+06
    7.899301      0.2073567E+06
    7.978691      0.2118858E+06
    8.058879      0.1959481E+06
    8.139872      0.1816054E+06
    8.221680      0.2193570E+06
    8.304310      0.1171665E+06
    8.387771      0.2540494E+06
    8.472070      0.2624779E+06
    8.557216      0.1020886E+06
    8.643218      0.4118481E+06
    8.730085      0.3238663E+06
    8.817824      0.2237576E+06
    8.906446      0.5194333E+06
    8.995958      0.3096220E+06
    9.086369      0.5015948E+06
    9.177690      0.6091013E+06
    9.269928      0.5403882E+06
    9.363093      0.3686192E+06
    9.457194      0.3025190E+06
    9.552242      0.3882367E+06
    9.648244      0.4036960E+06
    9.745211      0.1674984E+06
    9.843153      0.2060530E+06
    9.942079      0.1541122E+06
   10.042000      0.2474614E+06
   10.142920      0.3087884E+05
   10.244860      0.6282854E+05
   10.347830      0.2506892E+07
   10.451820      0.9842861E+06
   10.556870      0.4621142E+06
   10.662970      0.6173690E+06
   10.770130      0.2276169E+07
   10.878380      0.5726975E+06
   10.987710      0.4771785E+06
   11.098140      0.1183187E+06
   11.209670      0.2636631E+06
   11.322330      0.5686809E+05
   11.436130      0.1292559E+06
   11.551060      0.3748858E+06
   11.667150      0.2500521E+06
   11.784410      0.3380976E+06
   11.902850      0.7084177E+05
   12.022470      0.2604079E+06
   12.143300      0.9188809E+05
   12.265350      0.3843910E+06
   12.388620      0.3446875E+06
   12.513130      0.2493655E+06
   12.638890      0.1910033E+06
   12.765910      0.2346030E+06
   12.894210      0.2042904E+06
   13.023800      0.2061320E+06
   13.154690      0.1927497E+06
   13.286900      0.1306325E+06
   13.420440      0.2173234E+06
   13.555320      0.1839683E+06
   13.691550      0.1627850E+06
   13.829150      0.9972299E+05
   13.968140      0.8484754E+05
   14.108520      0.1697406E+06
   14.250320      0.9131852E+05
   14.393540      0.8801782E+05
   14.538200      0.7581370E+05
   14.684310      0.8548879E+05
   14.831890      0.6223809E+05
   14.980950      0.7167836E+05
   15.131520      0.7381065E+05
   15.283590      0.6615085E+05
   15.437190      0.1271560E+06
   15.592340      0.1039377E+06
   15.749050      0.1791911E+06
   15.907330      0.4662354E+06
   15.993430      0.3892432E+06
