#Kzz [cm^2/s]      P [bar]
   5.000E+008   2.053E+002
   5.000E+008   1.206E+002
   5.000E+008   7.089E+001
   5.000E+008   4.166E+001
   5.000E+008   2.448E+001
   5.000E+008   1.439E+001
   5.000E+008   8.456E+000
   5.000E+008   4.969E+000
   5.000E+008   2.920E+000
   5.000E+008   1.716E+000
   5.000E+008   1.009E+000
   5.000E+008   5.927E-001
   5.000E+008   3.483E-001
   5.000E+008   2.047E-001
   5.000E+008   1.203E-001
   5.000E+008   7.069E-002
   5.000E+008   4.154E-002
   5.000E+008   2.441E-002
   5.000E+008   1.435E-002
   5.000E+008   8.432E-003
   5.000E+008   4.955E-003
   5.000E+008   2.912E-003
   5.000E+008   1.711E-003
   5.000E+008   1.006E-003
   5.000E+008   5.910E-004
   5.000E+008   3.473E-004
   5.000E+008   2.041E-004
   5.000E+008   1.200E-004
   5.000E+008   7.049E-005
   5.000E+008   4.143E-005
   5.000E+008   2.435E-005
   5.000E+008   1.431E-005
   5.000E+008   8.408E-006
   5.000E+008   4.941E-006
   5.000E+008   2.904E-006
   5.000E+008   1.706E-006
   5.000E+008   1.003E-006
   5.000E+008   5.893E-007
   5.000E+008   3.463E-007
   5.000E+008   2.035E-007
   5.000E+008   1.196E-007
   5.000E+008   7.029E-008
   5.000E+008   4.131E-008
   5.000E+008   2.428E-008
   5.000E+008   1.427E-008
   5.000E+008   8.384E-009
   5.000E+008   4.927E-009
   5.000E+008   2.896E-009
   5.000E+008   1.702E-009
   5.000E+008   1.000E-009
