#       P [bar]       C/O       [O]       [C]
     4.4493E-01    48.111     0.740     2.682
     2.9634E-01    48.111     0.740     2.682
     1.9738E-01    48.111     0.740     2.682
     1.3146E-01    48.111     0.740     2.682
     8.7560E-02    48.111     0.740     2.682
     5.8319E-02    48.111     0.740     2.682
     3.8843E-02    48.111     0.740     2.682
     2.5871E-02    48.111     0.740     2.682
     1.7231E-02    48.111     0.740     2.682
     1.1477E-02    48.111     0.740     2.682
     7.6442E-03    48.111     0.740     2.682
     5.0914E-03    48.111     0.740     2.682
     3.3911E-03    48.111     0.740     2.682
     2.2586E-03    48.111     0.740     2.682
     1.5043E-03    48.111     0.740     2.682
     1.0020E-03    48.111     0.740     2.682
     6.6736E-04    48.111     0.740     2.682
     4.4449E-04    48.111     0.740     2.682
     2.9605E-04    48.111     0.740     2.682
     1.9718E-04    48.111     0.740     2.682
     1.3133E-04    48.111     0.740     2.682
     8.7474E-05    48.111     0.740     2.682
     5.8262E-05    48.111     0.740     2.682
     3.8805E-05    48.111     0.740     2.682
     2.5846E-05    48.111     0.740     2.682
     1.7215E-05    48.111     0.740     2.682
     1.1466E-05    48.111     0.740     2.682
     7.6367E-06    48.111     0.740     2.682
     5.0864E-06    48.111     0.740     2.682
     3.3878E-06    48.111     0.740     2.682
     2.2564E-06    48.111     0.740     2.682
     1.5029E-06    48.111     0.740     2.682
     1.0010E-06    48.111     0.740     2.682
     6.6670E-07    48.111     0.740     2.682
     4.4405E-07    48.111     0.740     2.682
     2.9576E-07    48.111     0.740     2.682
     1.9699E-07    48.111     0.740     2.682
     1.3120E-07    48.111     0.740     2.682
     8.7388E-08    48.111     0.740     2.682
     5.8205E-08    48.111     0.740     2.682
     3.8767E-08    48.111     0.740     2.682
     2.5821E-08    48.111     0.740     2.682
     1.7198E-08    48.111     0.740     2.682
     1.1454E-08    48.111     0.740     2.682
     7.6292E-09    48.111     0.740     2.682
     5.0814E-09    48.111     0.740     2.682
     3.3844E-09    48.111     0.740     2.682
     2.2542E-09    48.111     0.740     2.682
     1.5014E-09    48.111     0.740     2.682
     1.0000E-09    48.111     0.740     2.682
