#    T [K]      P [bar]     H2O            CO2            CH4            NH3            N2             H2        
    54.328   2.053E+002    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
    74.241   1.206E+002    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
    99.445   7.089E+001    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   130.415   4.166E+001    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   167.255   2.448E+001    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   209.517   1.439E+001    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   256.062   8.456E+000    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   304.961   4.969E+000    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   353.517   2.920E+000    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   398.413   1.716E+000    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   436.017   1.009E+000    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   462.821   5.927E-001    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   475.940   3.483E-001    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   472.766   2.047E-001    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   451.867   1.203E-001    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   417.982   7.069E-002    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   376.617   4.154E-002    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   332.697   2.441E-002    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   290.011   1.435E-002    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   251.079   8.432E-003    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   217.293   4.955E-003    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   189.206   2.912E-003    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   166.836   1.711E-003    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   149.940   1.006E-003    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   138.241   5.910E-004    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   131.599   3.473E-004    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   218.094   2.041E-004    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   284.831   1.200E-004    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   277.521   7.049E-005    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   267.204   4.143E-005    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   255.909   2.435E-005    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   245.401   1.431E-005    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   237.178   8.408E-006    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   232.559   4.941E-006    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   232.050   2.904E-006    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   232.416   1.706E-006    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   233.206   1.003E-006    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   234.496   5.893E-007    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   236.369   3.463E-007    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   238.914   2.035E-007    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   242.226   1.196E-007    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   246.413   7.029E-008    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   251.598   4.131E-008    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   257.921   2.428E-008    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   265.544   1.427E-008    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   274.657   8.384E-009    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   285.487   4.927E-009    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   298.303   2.896E-009    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
   313.430   1.702E-009    3.0192E-001    5.8764E-012    3.1812E-001    3.7539E-001    4.0348E-003    5.3955E-004
