#  lambda [mu]  total average tau
    6.030151      0.3538391E+07
    6.090755      0.3487770E+07
    6.151969      0.1969723E+07
    6.213798      0.8615731E+06
    6.276248      0.1507782E+06
    6.339326      0.1354202E+07
    6.403038      0.4077702E+07
    6.467390      0.4856730E+07
    6.532389      0.5446320E+07
    6.598041      0.6339222E+07
    6.664353      0.4668534E+07
    6.731331      0.2252765E+07
    6.798983      0.2364949E+07
    6.867314      0.3135736E+07
    6.936333      0.1803614E+07
    7.006044      0.2622066E+07
    7.076457      0.1919280E+07
    7.147577      0.1712049E+07
    7.219412      0.1255874E+07
    7.291969      0.1251317E+07
    7.365255      0.9540895E+06
    7.439278      0.9062137E+06
    7.514044      0.5827713E+06
    7.589562      0.5405112E+06
    7.665839      0.1807479E+06
    7.742883      0.2117497E+06
    7.820701      0.9471553E+05
    7.899301      0.1724233E+06
    7.978691      0.4245883E+05
    8.058879      0.3593719E+05
    8.139872      0.3032481E+05
    8.221680      0.2881180E+05
    8.304310      0.1064704E+05
    8.387771      0.1653346E+05
    8.472070      0.2065982E+05
    8.557216      0.1595482E+05
    8.643218      0.3905937E+04
    8.730085      0.4793715E+04
    8.817824      0.8798764E+04
    8.906446      0.3553340E+04
    8.995958      0.6690842E+04
    9.086369      0.1070483E+05
    9.177690      0.2393245E+05
    9.269928      0.2662946E+05
    9.363093      0.1601968E+05
    9.457194      0.1661337E+05
    9.552242      0.1936489E+05
    9.648244      0.1498221E+05
    9.745211      0.8684089E+04
    9.843153      0.7875243E+04
    9.942079      0.3230884E+04
   10.042000      0.4311027E+04
   10.142920      0.1145277E+05
   10.244860      0.1714139E+05
   10.347830      0.9816713E+04
   10.451820      0.1196511E+05
   10.556870      0.1660585E+05
   10.662970      0.1409209E+05
   10.770130      0.9248760E+04
   10.878380      0.9942699E+04
   10.987710      0.1503990E+05
   11.098140      0.4567885E+04
   11.209670      0.5057499E+04
   11.322330      0.5111047E+04
   11.436130      0.2799126E+04
   11.551060      0.6399865E+04
   11.667150      0.1658012E+05
   11.784410      0.8143119E+04
   11.902850      0.7504193E+04
   12.022470      0.7123753E+04
   12.143300      0.6165930E+04
   12.265350      0.1840571E+05
   12.388620      0.3382302E+05
   12.513130      0.5660791E+05
   12.638890      0.7142739E+05
   12.765910      0.3853475E+05
   12.894210      0.7239622E+05
   13.023800      0.1324241E+06
   13.154690      0.2302796E+06
   13.286900      0.3992939E+06
   13.420440      0.6807847E+06
   13.555320      0.8482885E+06
   13.691550      0.6994454E+06
   13.829150      0.2645189E+07
   13.968140      0.2135491E+07
   14.108520      0.3039607E+07
   14.250320      0.5490948E+07
   14.393540      0.9015480E+07
   14.538200      0.1329496E+08
   14.684310      0.1350408E+08
   14.831890      0.1410982E+08
   14.980950      0.9878776E+08
   15.131520      0.8718830E+07
   15.283590      0.1045441E+08
   15.437190      0.1095860E+08
   15.592340      0.6777647E+07
   15.749050      0.4243869E+07
   15.907330      0.2119109E+07
   15.993430      0.1688258E+07
