#    T [K]      P [bar]     H2O            CO2            CH4            NH3            N2             H2        
  2676.138   3.901E+002    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
  2136.045   2.263E+002    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
  1715.279   1.312E+002    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
  1386.559   7.613E+001    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
  1128.959   4.415E+001    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   926.427   2.561E+001    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   766.644   1.485E+001    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   640.152   8.616E+000    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   539.679   4.998E+000    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   459.630   2.899E+000    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   395.693   1.681E+000    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   344.542   9.752E-001    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   303.611   5.656E-001    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   270.919   3.281E-001    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   244.943   1.903E-001    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   224.519   1.104E-001    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   208.765   6.402E-002    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   197.033   3.713E-002    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   188.553   2.154E-002    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   182.210   1.249E-002    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   177.452   7.246E-003    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   173.823   4.203E-003    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   170.926   2.438E-003    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   168.398   1.414E-003    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   165.900   8.201E-004    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   163.114   4.757E-004    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   159.743   2.759E-004    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   155.524   1.600E-004    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   150.233   9.282E-005    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   143.709   5.384E-005    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   135.865   3.123E-005    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
   105.580   1.811E-005    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
    51.110   1.051E-005    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
    24.115   6.094E-006    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
    17.919   3.534E-006    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
    17.943   2.050E-006    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
    18.029   1.189E-006    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
    18.204   6.897E-007    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
    18.502   4.000E-007    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
    18.955   2.320E-007    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
    19.608   1.346E-007    5.2658E-001    4.7338E-001    9.5161E-009    1.0783E-007    4.3712E-005    4.5797E-010
