# pmax       H2          H2O         CO2         CH4         NH3         N2          Rp          Mp          Tpoint001   Tpoint002   Tpoint003   Tpoint004   Tpoint005   Tpoint006   Ppoint002   Ppoint003   Ppoint004   Ppoint005           C/O         [Z]        Teff         MMW
 -3.9245E+00  2.3451E-01  1.8302E+00  2.0210E+00 -3.1196E+00 -5.1210E+00 -6.0832E+00  9.2976E-02  5.8471E-03  8.7739E-01  2.4130E+00  1.3801E+00  2.1004E+00  2.2456E+00  3.3284E+00 -7.5183E+00 -5.1178E+00 -5.1123E+00 -1.9381E+00  3.3759E-01  3.3702E+00  2.0594E+02  3.1037E+01
  1.4371E+00 -5.1265E+00  1.9626E+00  2.4966E+00 -3.3507E+00 -7.5363E+00 -5.2651E+00  9.9441E-02  5.9691E-03  2.6349E+00  1.3371E+00  1.7556E+00  1.9421E+00  2.2227E+00  2.8746E+00 -7.3717E+00 -5.8610E+00 -3.8291E+00 -1.8650E+00  3.7816E-01  3.4971E+00  1.9769E+02  3.3268E+01
  8.9004E-02 -4.3950E+00  2.4541E+00  2.8215E+00 -5.1351E+00 -7.7359E+00 -2.4159E+00  1.0392E-01  5.0582E-03  1.1546E+00  1.2899E+00  5.4610E-01  2.1144E+00  2.2753E+00  3.0987E+00 -6.4236E+00 -6.1100E+00 -4.4864E+00 -1.6988E+00  4.3622E-01  3.8070E+00  1.9340E+02  3.7853E+01
 -1.0043E+00 -8.2442E-01  1.9280E+00  2.0458E+00 -5.0419E+00 -5.1665E+00 -3.1566E+00  9.3420E-02  4.8658E-03  8.2448E-01  1.7121E+00  6.0236E-01  2.0989E+00  2.2789E+00  3.4282E+00 -7.2784E+00 -5.3782E+00 -4.8295E+00 -1.5784E+00  4.1166E-01  3.6580E+00  2.0430E+02  3.5942E+01
  3.5920E-01 -8.2982E+00  1.4033E+00  1.5303E+00 -3.9195E+00 -8.0528E+00 -4.9767E+00  1.0001E-01  2.9836E-03  4.7684E-01  1.4059E+00  1.3948E+00  1.6443E+00  2.1801E+00  3.0051E+00 -7.7892E+00 -5.3234E+00 -4.9678E+00 -1.9901E+00  3.6199E-01  3.4480E+00  1.9517E+02  3.2504E+01
 -1.4257E+00 -5.9214E+00  1.5504E+00  1.7996E+00 -4.6077E+00 -4.8456E+00 -9.2742E-01  1.0029E-01  3.3845E-03  8.2199E-01  2.6050E+00  7.5171E-01  1.8898E+00  2.2215E+00  3.1381E+00 -8.5063E+00 -7.2522E+00 -6.7331E+00 -2.1005E+00  3.6411E-01  3.4561E+00  1.9774E+02  3.2662E+01
  2.6639E+00 -6.5215E+00  1.7258E+00  1.8395E+00 -8.7754E+00 -6.7741E+00 -2.2071E+00  9.2070E-02  5.4539E-03  2.8116E+00  2.2929E+00  1.8649E+00  2.0504E+00  2.3947E+00  3.4171E+00 -7.9938E+00 -5.4501E+00 -3.5659E+00 -6.6820E-01  3.9012E-01  3.5571E+00  2.0559E+02  3.4385E+01
 -3.8399E-01 -4.7901E+00  2.6488E+00  2.7624E+00 -8.3733E+00 -4.6297E+00 -3.8931E-01  9.8921E-02  3.4119E-03  6.4674E-01  2.1253E+00  1.6394E+00  2.0933E+00  2.1765E+00  3.3034E+00 -8.7194E+00 -6.3327E+00 -5.6960E+00 -2.7483E+00  3.6105E-01  3.4455E+00  1.9775E+02  3.2467E+01
 -1.9479E+00 -3.8331E+00  2.0448E+00  2.2264E+00 -5.7041E+00 -6.6800E+00 -6.7543E+00  9.6728E-02  4.3556E-03  5.8078E-01  1.6060E+00  2.2277E+00  1.4250E+00  2.1308E+00  2.9435E+00 -8.9961E+00 -6.7431E+00 -5.4338E+00 -2.1762E+00  3.6103E-01  3.4456E+00  1.9902E+02  3.2464E+01
  4.8764E-01 -6.2708E+00  2.0815E+00  1.9385E+00 -4.8330E+00 -4.6043E+00 -4.4269E+00  8.8542E-02  5.9693E-03  1.1566E+00  4.5927E-01  1.4805E+00  2.0544E+00  2.3365E+00  3.7616E+00 -8.2296E+00 -7.1538E+00 -5.3603E+00 -1.0564E+00  3.7617E-01  3.5003E+00  2.0913E+02  3.3446E+01
 -2.7830E+00 -8.1534E+00  4.5325E-01  5.1788E-01 -6.9685E+00 -6.6142E+00  5.9226E-01  9.4417E-02  4.0428E-03  1.4598E+00  1.2058E+00  1.9501E+00  2.0369E+00  2.4407E+00  3.6411E+00 -5.7017E+00 -4.2196E+00 -3.7224E+00 -3.1531E-01  2.9499E-01  3.2549E+00  2.0146E+02  2.8683E+01
  2.5446E+00 -6.1547E+00  1.6975E+00  1.7856E+00 -5.1954E+00 -4.9761E+00 -8.7684E+00  9.5383E-02  3.3664E-03  1.5948E+00  2.4551E+00  2.0132E+00  2.0828E+00  2.2952E+00  3.5847E+00 -8.9253E+00 -6.1963E+00 -4.1907E+00 -1.4005E+00  3.4944E-01  3.6150E+00  2.0250E+02  3.0215E+01
 -3.8568E+00 -2.5591E+00  1.6102E+00  1.6496E+00 -5.5977E+00 -4.8422E+00 -5.3087E+00  9.4169E-02  3.4700E-03  1.8673E+00  1.7017E+00  1.8057E+00  1.9411E+00  2.3626E+00  3.3995E+00 -8.5864E+00 -5.5054E+00 -4.8841E+00 -9.7267E-01  3.5505E-01  3.4252E+00  2.0374E+02  3.2092E+01
