#   radius [cm]    height [cm]  dens [g/cm^3]   N [1/cm^3]     T [K]    P [bar]g [cm/s^2]       MMW
 6.1983537E+008   -7.7923E+006    5.2777E-002  1.0559E+021  2676.138 3.901E+002  1734.731    30.102
 6.2134595E+008   -6.2818E+006    3.8352E-002  7.6727E+020  2136.045 2.263E+002  1726.366    30.102
 6.2302840E+008   -4.5993E+006    2.7702E-002  5.5420E+020  1715.279 1.312E+002  1717.090    30.102
 6.2439011E+008   -3.2376E+006    1.9877E-002  3.9766E+020  1386.559 7.613E+001  1709.629    30.102
 6.2549881E+008   -2.1289E+006    1.4160E-002  2.8328E+020  1128.959 4.415E+001  1703.585    30.102
 6.2640765E+008   -1.2201E+006    1.0008E-002  2.0023E+020   926.427 2.561E+001  1698.652    30.102
 6.2715828E+008   -4.6942E+005    7.0151E-003  1.4034E+020   766.644 1.485E+001  1694.593    30.102
 6.2778336E+008    1.5566E+005    4.8729E-003  9.7487E+019   640.152 8.616E+000  1691.222    30.102
 6.2830857E+008    6.8087E+005    3.3526E-003  6.7071E+019   539.679 4.998E+000  1688.397    30.102
 6.2875410E+008    1.1264E+006    2.2832E-003  4.5678E+019   459.630 2.899E+000  1686.006    30.102
 6.2913594E+008    1.5082E+006    1.5383E-003  3.0775E+019   395.693 1.681E+000  1683.960    30.102
 6.2946678E+008    1.8391E+006    1.0247E-003  2.0501E+019   344.542 9.752E-001  1682.191    30.102
 6.2975676E+008    2.1291E+006    6.7449E-004  1.3494E+019   303.611 5.656E-001  1680.642    30.102
 6.3001401E+008    2.3863E+006    4.3843E-004  8.7712E+018   270.919 3.281E-001  1679.270    30.102
 6.3024518E+008    2.6175E+006    2.8127E-004  5.6270E+018   244.943 1.903E-001  1678.039    30.102
 6.3045570E+008    2.8280E+006    1.7798E-004  3.5607E+018   224.519 1.104E-001  1676.918    30.102
 6.3065013E+008    3.0224E+006    1.1102E-004  2.2211E+018   208.765 6.402E-002  1675.884    30.102
 6.3083233E+008    3.2046E+006    6.8231E-005  1.3650E+018   197.033 3.713E-002  1674.917    30.102
 6.3100555E+008    3.3779E+006    4.1355E-005  8.2735E+017   188.553 2.154E-002  1673.997    30.102
 6.3117221E+008    3.5445E+006    2.4822E-005  4.9659E+017   182.210 1.249E-002  1673.113    30.102
 6.3133396E+008    3.7063E+006    1.4783E-005  2.9576E+017   177.452 7.246E-003  1672.256    30.102
 6.3149201E+008    3.8643E+006    8.7537E-006  1.7513E+017   173.823 4.203E-003  1671.419    30.102
 6.3164721E+008    4.0195E+006    5.1634E-006  1.0330E+017   170.926 2.438E-003  1670.598    30.102
 6.3180004E+008    4.1723E+006    3.0399E-006  6.0815E+016   168.398 1.414E-003  1669.790    30.102
 6.3195068E+008    4.3230E+006    1.7897E-006  3.5805E+016   165.900 8.201E-004  1668.994    30.102
 6.3209900E+008    4.4713E+006    1.0558E-006  2.1123E+016   163.114 4.757E-004  1668.210    30.102
 6.3224462E+008    4.6169E+006    6.2532E-007  1.2510E+016   159.743 2.759E-004  1667.442    30.102
 6.3238688E+008    4.7592E+006    3.7254E-007  7.4530E+015   155.524 1.600E-004  1666.692    30.102
 6.3252491E+008    4.8972E+006    2.2369E-007  4.4751E+015   150.233 9.282E-005  1665.965    30.102
 6.3265767E+008    5.0300E+006    1.3564E-007  2.7135E+015   143.709 5.384E-005  1665.266    30.102
 6.3278398E+008    5.1563E+006    8.3214E-008  1.6648E+015   135.865 3.123E-005  1664.601    30.102
 6.3289311E+008    5.2654E+006    6.2111E-008  1.2426E+015   105.580 1.811E-005  1664.027    30.102
 6.3296395E+008    5.3362E+006    7.4420E-008  1.4888E+015    51.110 1.051E-005  1663.654    30.102
 6.3299797E+008    5.3703E+006    9.1485E-008  1.8302E+015    24.115 6.094E-006  1663.476    30.102
 6.3301697E+008    5.3893E+006    7.1412E-008  1.4287E+015    17.919 3.534E-006  1663.376    30.102
 6.3303319E+008    5.4055E+006    4.1364E-008  8.2752E+014    17.943 2.050E-006  1663.290    30.102
 6.3304946E+008    5.4218E+006    2.3878E-008  4.7771E+014    18.029 1.189E-006  1663.205    30.102
 6.3306585E+008    5.4381E+006    1.3716E-008  2.7441E+014    18.204 6.897E-007  1663.119    30.102
 6.3308245E+008    5.4548E+006    7.8281E-009  1.5661E+014    18.502 4.000E-007  1663.032    30.102
 6.3309940E+008    5.4717E+006    4.4317E-009  8.8661E+013    18.955 2.320E-007  1662.943    30.102
 6.3311684E+008    5.4891E+006    2.4850E-009  4.9714E+013    19.608 1.346E-007  1662.851    30.102
 6.3313499E+008    5.5073E+006    1.3779E-009  2.7566E+013    20.511 7.806E-008  1662.756    30.102
 6.3315410E+008    5.5264E+006    7.5437E-010  1.5092E+013    21.730 4.528E-008  1662.655    30.102
 6.3317450E+008    5.5468E+006    4.0715E-010  8.1453E+012    23.353 2.626E-008  1662.548    30.102
 6.3319660E+008    5.5689E+006    2.1629E-010  4.3271E+012    25.497 1.523E-008  1662.432    30.102
 6.3322096E+008    5.5933E+006    1.1292E-010  2.2591E+012    28.327 8.835E-009  1662.304    30.102
 6.3324830E+008    5.6206E+006    5.7846E-011  1.1573E+012    32.074 5.125E-009  1662.161    30.102
 6.3327959E+008    5.6519E+006    2.9032E-011  5.8080E+011    37.068 2.972E-009  1661.996    30.102
 6.3331619E+008    5.6885E+006    1.4252E-011  2.8513E+011    43.796 1.724E-009  1661.804    30.102
 6.3335386E+008    5.7262E+006    4.5923E-012  9.1873E+010    78.837 1.000E-009  1661.607    30.102
