#       P [bar]       C/O       [O]       [C]
     2.1557E+01     0.356     3.550     3.361
     1.3265E+01     0.356     3.550     3.361
     8.1622E+00     0.356     3.550     3.361
     5.0224E+00     0.356     3.550     3.361
     3.0905E+00     0.356     3.550     3.361
     1.9017E+00     0.356     3.550     3.361
     1.1702E+00     0.356     3.550     3.361
     7.2004E-01     0.356     3.550     3.361
     4.4307E-01     0.356     3.550     3.361
     2.7263E-01     0.356     3.550     3.361
     1.6776E-01     0.356     3.550     3.361
     1.0323E-01     0.356     3.550     3.361
     6.3520E-02     0.356     3.550     3.361
     3.9086E-02     0.356     3.550     3.361
     2.4051E-02     0.356     3.550     3.361
     1.4799E-02     0.356     3.550     3.361
     9.1065E-03     0.356     3.550     3.361
     5.6035E-03     0.356     3.550     3.361
     3.4480E-03     0.356     3.550     3.361
     2.1217E-03     0.356     3.550     3.361
     1.3056E-03     0.356     3.550     3.361
     8.0335E-04     0.356     3.550     3.361
     4.9433E-04     0.356     3.550     3.361
     3.0418E-04     0.356     3.550     3.361
     1.8717E-04     0.356     3.550     3.361
     1.1517E-04     0.356     3.550     3.361
     7.0869E-05     0.356     3.550     3.361
     4.3608E-05     0.356     3.550     3.361
     2.6834E-05     0.356     3.550     3.361
     1.6512E-05     0.356     3.550     3.361
     1.0160E-05     0.356     3.550     3.361
     6.2519E-06     0.356     3.550     3.361
     3.8470E-06     0.356     3.550     3.361
     2.3672E-06     0.356     3.550     3.361
     1.4566E-06     0.356     3.550     3.361
     8.9630E-07     0.356     3.550     3.361
     5.5152E-07     0.356     3.550     3.361
     3.3937E-07     0.356     3.550     3.361
     2.0883E-07     0.356     3.550     3.361
     1.2850E-07     0.356     3.550     3.361
     7.9069E-08     0.356     3.550     3.361
     4.8654E-08     0.356     3.550     3.361
     2.9938E-08     0.356     3.550     3.361
     1.8422E-08     0.356     3.550     3.361
     1.1336E-08     0.356     3.550     3.361
     6.9752E-09     0.356     3.550     3.361
     4.2921E-09     0.356     3.550     3.361
     2.6411E-09     0.356     3.550     3.361
     1.6251E-09     0.356     3.550     3.361
     1.0000E-09     0.356     3.550     3.361
