#  lambda [mu]  total average tau
    6.030151      0.7194502E+07
    6.090755      0.6594264E+07
    6.151969      0.3702892E+07
    6.213798      0.1881712E+07
    6.276248      0.7047478E+06
    6.339326      0.2826298E+07
    6.403038      0.9134255E+07
    6.467390      0.1307484E+08
    6.532389      0.1393900E+08
    6.598041      0.1872200E+08
    6.664353      0.1411939E+08
    6.731331      0.7806863E+07
    6.798983      0.7878016E+07
    6.867314      0.9246771E+07
    6.936333      0.6433741E+07
    7.006044      0.8156900E+07
    7.076457      0.6819938E+07
    7.147577      0.6631973E+07
    7.219412      0.5943265E+07
    7.291969      0.5384741E+07
    7.365255      0.4668231E+07
    7.439278      0.4842477E+07
    7.514044      0.3637526E+07
    7.589562      0.3640007E+07
    7.665839      0.1748270E+07
    7.742883      0.2064776E+07
    7.820701      0.1261474E+07
    7.899301      0.1468376E+07
    7.978691      0.6221311E+06
    8.058879      0.5639201E+06
    8.139872      0.4670451E+06
    8.221680      0.3666249E+06
    8.304310      0.2047422E+06
    8.387771      0.1834445E+06
    8.472070      0.1960966E+06
    8.557216      0.1213460E+06
    8.643218      0.6136426E+05
    8.730085      0.7532203E+05
    8.817824      0.7173687E+05
    8.906446      0.5196500E+05
    8.995958      0.1444320E+06
    9.086369      0.3299561E+06
    9.177690      0.5208572E+06
    9.269928      0.4632932E+06
    9.363093      0.3134792E+06
    9.457194      0.3346922E+06
    9.552242      0.3677890E+06
    9.648244      0.3392031E+06
    9.745211      0.2480246E+06
    9.843153      0.2134750E+06
    9.942079      0.1494972E+06
   10.042000      0.1651360E+06
   10.142920      0.2374339E+06
   10.244860      0.2618220E+06
   10.347830      0.2273092E+06
   10.451820      0.2752347E+06
   10.556870      0.3008498E+06
   10.662970      0.2927608E+06
   10.770130      0.2493560E+06
   10.878380      0.2617151E+06
   10.987710      0.3563396E+06
   11.098140      0.2067954E+06
   11.209670      0.1665578E+06
   11.322330      0.1704165E+06
   11.436130      0.1296150E+06
   11.551060      0.2015085E+06
   11.667150      0.3403641E+06
   11.784410      0.2485134E+06
   11.902850      0.1825123E+06
   12.022470      0.2381914E+06
   12.143300      0.2418030E+06
   12.265350      0.3994906E+06
   12.388620      0.7324856E+06
   12.513130      0.9785514E+06
   12.638890      0.1300424E+07
   12.765910      0.1354772E+07
   12.894210      0.2047315E+07
   13.023800      0.3285732E+07
   13.154690      0.4871934E+07
   13.286900      0.6769777E+07
   13.420440      0.9967180E+07
   13.555320      0.1293605E+08
   13.691550      0.1363934E+08
   13.829150      0.2910833E+08
   13.968140      0.3442718E+08
   14.108520      0.3770379E+08
   14.250320      0.5081675E+08
   14.393540      0.6878254E+08
   14.538200      0.8911954E+08
   14.684310      0.9262827E+08
   14.831890      0.1462277E+09
   14.980950      0.3380743E+09
   15.131520      0.9110053E+08
   15.283590      0.7652629E+08
   15.437190      0.7271590E+08
   15.592340      0.4939870E+08
   15.749050      0.3869947E+08
   15.907330      0.2697792E+08
   15.993430      0.2410671E+08
