#Kzz [cm^2/s]      P [bar]
   5.000E+008   7.484E+002
   5.000E+008   4.284E+002
   5.000E+008   2.452E+002
   5.000E+008   1.403E+002
   5.000E+008   8.032E+001
   5.000E+008   4.597E+001
   5.000E+008   2.631E+001
   5.000E+008   1.506E+001
   5.000E+008   8.620E+000
   5.000E+008   4.934E+000
   5.000E+008   2.824E+000
   5.000E+008   1.616E+000
   5.000E+008   9.251E-001
   5.000E+008   5.295E-001
   5.000E+008   3.031E-001
   5.000E+008   1.735E-001
   5.000E+008   9.928E-002
   5.000E+008   5.682E-002
   5.000E+008   3.252E-002
   5.000E+008   1.862E-002
   5.000E+008   1.065E-002
   5.000E+008   6.098E-003
   5.000E+008   3.491E-003
   5.000E+008   1.998E-003
   5.000E+008   1.143E-003
   5.000E+008   6.545E-004
   5.000E+008   3.746E-004
   5.000E+008   2.144E-004
   5.000E+008   1.227E-004
   5.000E+008   7.024E-005
   5.000E+008   4.020E-005
   5.000E+008   2.301E-005
   5.000E+008   1.317E-005
   5.000E+008   7.538E-006
   5.000E+008   4.315E-006
   5.000E+008   2.470E-006
   5.000E+008   1.413E-006
   5.000E+008   8.090E-007
   5.000E+008   4.630E-007
   5.000E+008   2.650E-007
   5.000E+008   1.517E-007
   5.000E+008   8.682E-008
   5.000E+008   4.969E-008
   5.000E+008   2.844E-008
   5.000E+008   1.628E-008
   5.000E+008   9.318E-009
   5.000E+008   5.333E-009
   5.000E+008   3.053E-009
   5.000E+008   1.747E-009
   5.000E+008   1.000E-009
