#   radius [cm]    height [cm]  dens [g/cm^3]   N [1/cm^3]     T [K]    P [bar]g [cm/s^2]       MMW
 6.0423499E+008   -1.1420E+007    1.7789E-001  3.1153E+021  1739.975 7.484E+002   914.719    34.386
 6.0598270E+008   -9.6725E+006    1.1870E-001  2.0788E+021  1492.444 4.284E+002   909.670    34.386
 6.0804802E+008   -7.6071E+006    7.8991E-002  1.3834E+021  1283.655 2.452E+002   903.628    34.386
 6.0983805E+008   -5.8171E+006    5.2406E-002  9.1780E+020  1107.421 1.403E+002   898.404    34.386
 6.1139311E+008   -4.2620E+006    3.4654E-002  6.0691E+020   958.538 8.032E+001   893.882    34.386
 6.1274774E+008   -2.9074E+006    2.2834E-002  3.9989E+020   832.641 4.597E+001   889.958    34.386
 6.1393144E+008   -1.7237E+006    1.4988E-002  2.6248E+020   726.065 2.631E+001   886.544    34.386
 6.1496936E+008   -6.8580E+005    9.7971E-003  1.7158E+020   635.744 1.506E+001   883.562    34.386
 6.1588293E+008    2.2777E+005    6.3761E-003  1.1167E+020   559.109 8.620E+000   880.947    34.386
 6.1669038E+008    1.0352E+006    4.1303E-003  7.2335E+019   494.010 4.934E+000   878.644    34.386
 6.1740725E+008    1.7521E+006    2.6624E-003  4.6627E+019   438.652 2.824E+000   876.606    34.386
 6.1804676E+008    2.3916E+006    1.7072E-003  2.9899E+019   391.533 1.616E+000   874.794    34.386
 6.1862018E+008    2.9650E+006    1.0888E-003  1.9068E+019   351.397 9.251E-001   873.174    34.386
 6.1913714E+008    3.4820E+006    6.9036E-004  1.2090E+019   317.196 5.295E-001   871.716    34.386
 6.1960587E+008    3.9507E+006    4.3511E-004  7.6201E+018   288.056 3.031E-001   870.398    34.386
 6.2003344E+008    4.3783E+006    2.7251E-004  4.7725E+018   263.248 1.735E-001   869.198    34.386
 6.2042594E+008    4.7708E+006    1.6955E-004  2.9694E+018   242.164 9.928E-002   868.099    34.386
 6.2078863E+008    5.1335E+006    1.0478E-004  1.8349E+018   224.299 5.682E-002   867.085    34.386
 6.2112610E+008    5.4709E+006    6.4286E-005  1.1259E+018   209.238 3.252E-002   866.143    34.386
 6.2144237E+008    5.7872E+006    3.9153E-005  6.8569E+017   196.638 1.862E-002   865.262    34.386
 6.2174100E+008    6.0858E+006    2.3663E-005  4.1442E+017   186.219 1.065E-002   864.431    34.386
 6.2202517E+008    6.3700E+006    1.4189E-005  2.4849E+017   177.759 6.098E-003   863.641    34.386
 6.2229775E+008    6.6426E+006    8.4395E-006  1.4780E+017   171.050 3.491E-003   862.885    34.386
 6.2256117E+008    6.9060E+006    4.9844E-006  8.7293E+016   165.766 1.998E-003   862.154    34.386
 6.2281743E+008    7.1623E+006    2.9264E-006  5.1251E+016   161.601 1.143E-003   861.445    34.386
 6.2306803E+008    7.4129E+006    1.7100E-006  2.9947E+016   158.292 6.545E-004   860.752    34.386
 6.2331414E+008    7.6590E+006    9.9559E-007  1.7436E+016   155.611 3.746E-004   860.073    34.386
 6.2355656E+008    7.9014E+006    5.7825E-007  1.0127E+016   153.349 2.144E-004   859.404    34.386
 6.2379580E+008    8.1406E+006    3.3542E-007  5.8743E+015   151.313 1.227E-004   858.745    34.386
 6.2403205E+008    8.3769E+006    1.9454E-007  3.4071E+015   149.320 7.024E-005   858.095    34.386
 6.2426525E+008    8.6101E+006    1.1295E-007  1.9782E+015   147.199 4.020E-005   857.454    34.386
 6.2449504E+008    8.8399E+006    6.5728E-008  1.1511E+015   144.786 2.301E-005   856.823    34.386
 6.2472086E+008    9.0657E+006    3.8377E-008  6.7209E+014   141.933 1.317E-005   856.204    34.386
 6.2494189E+008    9.2867E+006    2.2509E-008  3.9420E+014   138.505 7.538E-006   855.598    34.386
 6.2515713E+008    9.5020E+006    1.3278E-008  2.3253E+014   134.391 4.315E-006   855.009    34.386
 6.2536541E+008    9.7103E+006    7.8862E-009  1.3811E+014   129.507 2.470E-006   854.440    34.386
 6.2556546E+008    9.9103E+006    4.7218E-009  8.2693E+013   123.801 1.413E-006   853.893    34.386
 6.2575596E+008    1.0101E+007    2.8532E-009  4.9969E+013   117.264 8.090E-007   853.374    34.386
 6.2593453E+008    1.0279E+007    1.7640E-009  3.0892E+013   108.564 4.630E-007   852.887    34.386
 6.2605883E+008    1.0404E+007    2.2565E-009  3.9519E+013    48.574 2.650E-007   852.548    34.386
 6.2610745E+008    1.0452E+007    4.8781E-009  8.5431E+013    12.861 1.517E-007   852.416    34.386
 6.2612146E+008    1.0466E+007    7.4144E-009  1.2985E+014     4.843 8.682E-008   852.377    34.386
 6.2612924E+008    1.0474E+007    4.1135E-009  7.2040E+013     4.996 4.969E-008   852.356    34.386
 6.2614107E+008    1.0486E+007    1.1822E-009  2.0704E+013     9.950 2.844E-008   852.324    34.386
 6.2616628E+008    1.0511E+007    3.0754E-010  5.3861E+012    21.892 1.628E-008   852.255    34.386
 6.2620755E+008    1.0552E+007    1.2739E-010  2.2311E+012    30.250 9.318E-009   852.143    34.386
 6.2625696E+008    1.0602E+007    6.8580E-011  1.2011E+012    32.162 5.333E-009   852.009    34.386
 6.2630906E+008    1.0654E+007    3.7535E-011  6.5736E+011    33.633 3.053E-009   851.867    34.386
 6.2636307E+008    1.0708E+007    2.0903E-011  3.6608E+011    34.568 1.747E-009   851.720    34.386
 6.2640427E+008    1.0749E+007    1.1853E-011  2.0759E+011    34.891 1.000E-009   851.608    34.386
