# pmax       H2          H2O         CO2         CH4         NH3         N2          Rp          Mp          Tpoint001   Tpoint002   Tpoint003   Tpoint004   Tpoint005   Tpoint006   Ppoint002   Ppoint003   Ppoint004   Ppoint005           C/O         [Z]        Teff         MMW
  1.2820E+00 -3.9547E+00  1.5871E+00  2.1016E+00 -2.3872E+00 -6.5082E+00 -4.3922E-01  8.3659E-02  4.7664E-03  1.8226E+00  1.0999E+00  1.4685E+00  1.6883E+00  2.3461E+00  2.9796E+00 -7.7236E+00 -6.3613E+00 -6.1600E+00 -1.2164E+00  4.2870E-01  3.7562E+00  2.1692E+02  3.7245E+01
 -2.1308E+00 -4.0750E+00  1.4229E+00  1.7033E+00 -2.9128E+00 -6.4732E+00 -5.1741E+00  8.4124E-02  3.9490E-03  2.8288E+00  1.5390E+00  7.7992E-01  1.9346E+00  2.3180E+00  3.2380E+00 -8.0034E+00 -6.0296E+00 -5.6093E+00 -1.4308E+00  4.3369E-01  3.7899E+00  2.1684E+02  3.7625E+01
 -1.3799E+00 -2.3376E+00  1.9258E+00  2.3187E+00 -2.2054E+00 -4.7623E+00 -7.3461E+00  8.4362E-02  4.4943E-03  1.6737E+00  2.0292E+00  1.9759E+00  1.8877E+00  2.2409E+00  3.1250E+00 -8.0689E+00 -7.1242E+00 -6.6495E+00 -2.1018E+00  3.9615E-01  3.5829E+00  2.1626E+02  3.4815E+01
 -2.4362E+00 -4.6750E+00  1.0459E+00  1.4334E+00 -2.9385E+00 -6.1247E+00 -7.5960E+00  8.0100E-02  3.0105E-03  1.7267E+00  1.8024E+00  2.2755E+00  1.8592E+00  2.2859E+00  3.1240E+00 -8.2891E+00 -8.2077E+00 -6.2851E+00 -1.8369E+00  4.1587E-01  3.6804E+00  2.2065E+02  3.6256E+01
  4.7939E-01 -7.5067E+00  1.6578E+00  2.1610E+00 -2.3814E+00 -7.9752E+00 -8.6980E-01  8.4492E-02  2.7257E-03  8.3215E-01  2.6041E+00  2.0521E+00  1.8555E+00  2.3237E+00  3.0867E+00 -8.1469E+00 -7.7220E+00 -7.0547E+00 -1.5875E+00  4.1500E-01  3.6756E+00  2.1631E+02  3.6191E+01
 -5.9033E-01 -2.0189E+00  8.0204E-01  1.4985E+00 -3.4170E+00 -7.9116E+00  1.2475E-01  9.4875E-02  1.0526E-03  7.7061E-01  2.1311E+00  2.2009E+00  1.6941E+00  2.2599E+00  2.8230E+00 -8.6373E+00 -7.7737E+00 -5.3914E+00 -2.1029E+00  4.3218E-01  3.7792E+00  2.0450E+02  3.7519E+01
  1.4359E+00 -4.1031E-01  2.1120E+00  2.6343E+00 -1.9514E+00 -8.1723E+00 -3.4618E+00  8.5593E-02  1.5332E-03  8.7935E-01  2.6835E+00  1.8560E+00  1.5923E+00  2.1568E+00  3.0010E+00 -8.8149E+00 -8.0033E+00 -7.3366E+00 -2.8445E+00  4.5432E-01  3.9679E+00  2.1430E+02  3.8968E+01
  1.1743E+00  1.5736E-01  1.1466E+00  1.7392E+00 -2.9330E+00 -4.9921E+00 -1.9188E+00  8.8444E-02  2.2491E-03  2.1479E+00  1.5710E+00  1.6511E+00  1.9733E+00  2.3360E+00  3.1099E+00 -8.0824E+00 -7.2292E+00 -6.3946E+00 -1.5159E+00  4.3472E-01  3.7950E+00  2.1168E+02  3.7706E+01
 -2.4046E+00 -8.4627E+00  9.2411E-01  1.2906E+00 -3.5528E+00 -5.0956E+00 -5.6478E+00  9.1660E-02  2.5703E-03  5.5453E-01  1.1353E+00  5.0956E-01  1.4908E+00  2.1289E+00  2.9453E+00 -7.6960E+00 -7.6702E+00 -6.4589E+00 -2.6598E+00  4.4337E-01  3.8183E+00  2.0664E+02  3.7693E+01
 -8.4646E-01 -7.0331E+00  1.4308E+00  1.8544E+00 -2.7387E+00 -6.8258E+00 -7.4285E+00  8.2889E-02  2.5281E-03  2.8261E+00  2.5757E+00  2.1763E+00  1.5198E+00  2.1225E+00  2.9198E+00 -7.8606E+00 -6.2913E+00 -5.8496E+00 -2.7202E+00  4.1153E-01  3.6573E+00  2.1827E+02  3.5931E+01
 -1.1901E+00 -3.2611E+00  2.1504E+00  2.6193E+00 -1.9418E+00 -6.4477E+00 -3.6506E+00  8.5012E-02  4.2396E-03  1.4149E+00  2.0234E+00  5.0379E-01  1.6605E+00  2.1724E+00  3.0191E+00 -8.4536E+00 -8.3140E+00 -7.5129E+00 -2.5698E+00  4.2070E-01  3.7076E+00  2.1473E+02  3.6625E+01
