#    T [K]      P [bar]     H2O            CO2            CH4            NH3            N2             H2        
   296.810   2.139E-001    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   294.249   1.446E-001    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   291.389   9.778E-002    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   288.230   6.611E-002    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   284.772   4.469E-002    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   281.019   3.022E-002    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   276.973   2.043E-002    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   272.640   1.381E-002    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   268.026   9.337E-003    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   263.139   6.313E-003    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   257.989   4.268E-003    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   252.586   2.885E-003    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   246.942   1.951E-003    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   241.071   1.319E-003    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   234.987   8.917E-004    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   228.707   6.028E-004    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   222.246   4.076E-004    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   215.623   2.755E-004    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   208.857   1.863E-004    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   201.967   1.259E-004    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   194.973   8.515E-005    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   187.896   5.756E-005    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
   180.757   3.892E-005    9.4050E-001    4.0969E-005    3.0103E-003    5.6229E-002    1.3432E-006    2.2017E-004
