# pmax       H2          H2O         CO2         CH4         NH3         N2          Rp          Mp          Tpoint001   Tpoint002   Tpoint003   Tpoint004   Tpoint005   Tpoint006   Ppoint002   Ppoint003   Ppoint004   Ppoint005           C/O         [Z]        Teff         MMW
 -1.9522E+00  4.2890E-01 -6.2432E-02 -6.3029E+00 -3.7579E+00 -2.0357E+00 -2.0593E-01  9.2864E-02  3.5671E-03  1.6341E+00  2.6412E+00  1.9947E+00  2.0291E+00  2.4692E+00  1.5405E+00 -7.9901E+00 -6.1222E+00 -5.8035E+00 -1.2857E-01  9.5167E-04  2.8384E+00  2.2051E+02  1.8340E+01
 -2.4560E+00 -6.1852E+00  1.8947E+00 -3.9339E+00 -1.1659E+00  5.5706E-01 -3.9010E+00  9.6425E-02  4.8587E-03  9.9667E-01  2.0398E+00  1.0305E+00  2.1429E+00  2.4759E+00  4.5894E-01 -8.2521E+00 -7.5803E+00 -5.3878E+00  3.5467E-01  2.0220E-04  2.5298E+00  2.1754E+02  9.1645E+00
 -6.8750E-01 -6.5936E+00 -5.0203E-01 -8.3669E+00 -5.4577E+00 -1.7083E+00 -1.5508E+00  9.4011E-02  1.5846E-03  1.7941E+00  1.0671E+00  1.4826E+00  2.0887E+00  2.4819E+00  2.5226E+00 -6.1453E+00 -5.0289E+00 -4.9833E+00  5.2984E-02  8.7118E-04  2.7457E+00  2.2109E+02  1.7841E+01
  8.0205E-01 -2.8430E+00 -1.4082E+00 -7.2007E+00 -5.3838E+00 -2.9010E+00 -5.8462E+00  9.2911E-02  2.8685E-03  1.1309E+00  1.2994E+00  1.0284E+00  2.2958E+00  2.4741E+00  1.0943E+00 -7.3280E+00 -4.6373E+00 -3.6807E+00 -6.0987E-02  1.1089E-05  2.8105E+00  2.2179E+02  1.8603E+01
  2.4797E+00 -7.9742E+00  2.9290E-01 -3.0930E+00 -2.8667E+00 -1.1942E+00 -2.5440E+00  9.2592E-02  5.1182E-03  1.8359E+00  5.7177E-01  4.5279E-01  1.8836E+00  2.4658E+00  1.8076E+00 -8.6196E+00 -7.3667E+00 -6.0474E+00 -3.6324E-01  1.0740E-04  2.7338E+00  2.2075E+02  1.7310E+01
  6.1032E-01  3.4090E-02  2.8780E+00 -5.5315E+00  3.1452E-01  1.5618E+00 -5.6008E-01  9.3455E-02  4.1515E-03  7.7741E-01  1.5935E+00  1.1179E+00  2.2090E+00  2.4820E+00  1.6267E+00 -8.0060E+00 -7.0638E+00 -4.9129E+00  4.2238E-01  1.1027E-03  2.7501E+00  2.2035E+02  1.7877E+01
 -2.8761E+00 -3.3781E+00  2.4500E+00 -7.5495E+00 -7.8994E-01  1.2370E+00 -5.9113E+00  9.7406E-02  3.1369E-03  2.6594E+00  9.3643E-01  6.0768E-01  2.2233E+00  2.4995E+00  2.1275E+00 -7.1378E+00 -6.0768E+00 -4.7569E+00  1.7354E+00  2.7321E-03  2.7443E+00  2.1734E+02  1.7817E+01
 -3.7155E+00 -6.0058E+00  2.3417E-01 -7.3747E+00 -3.1688E+00 -1.2161E+00 -2.1916E+00  9.2285E-02  2.8552E-03  1.7501E+00  7.1244E-01  1.5064E+00  1.8715E+00  2.4890E+00  1.5999E+00 -8.7224E+00 -7.2094E+00 -6.8337E+00  8.6146E-01  5.7556E-04  2.7429E+00  2.2233E+02  1.7828E+01
  4.3919E-01 -2.7453E+00 -4.1849E-01 -5.3294E+00 -3.1830E+00 -1.8556E+00 -5.6609E+00  9.4879E-02  5.0989E-03  2.3871E+00  1.6932E+00  1.3117E+00  2.2920E+00  2.4611E+00  1.8567E+00 -6.1381E+00 -4.6692E+00 -3.6178E+00 -3.6875E-01  3.9540E-04  2.7511E+00  2.1886E+02  1.7887E+01
  1.5363E+00 -8.9234E+00  1.2066E+00 -2.2610E+00 -1.7657E+00 -1.6369E-01 -5.1291E+00  9.4158E-02  2.0205E-03  1.4370E+00  2.2497E+00  5.2641E-01  2.3298E+00  2.4725E+00  2.4445E+00 -6.9054E+00 -4.2076E+00 -3.5784E+00  4.7913E-01  1.7320E-03  2.7453E+00  2.1934E+02  1.7776E+01
  1.6976E+00 -3.6655E+00  2.8548E+00 -4.7616E+00 -4.2705E-01  1.5078E+00 -1.4244E+00  9.5277E-02  4.3358E-03  2.5745E+00  1.6789E+00  6.2264E-01  2.2714E+00  2.4850E+00  1.8943E+00 -8.5913E+00 -6.1821E+00 -4.2135E+00  8.1026E-01  1.4056E-03  2.7467E+00  2.1911E+02  1.7852E+01
 -7.1247E-01 -3.6531E+00  6.3623E-01 -7.5314E+00 -1.3976E+00 -5.2146E-01 -1.5995E+00  9.5759E-02  4.0658E-03  1.7590E+00  4.9543E-01  1.9568E+00  2.2281E+00  2.4720E+00  1.3857E+00 -6.3810E+00 -5.8828E+00 -4.6490E+00 -2.1415E-01  5.2258E-04  2.7461E+00  2.1768E+02  1.7843E+01
