#  lambda [mu]  total average tau
    6.030151      0.6394655E+09
    6.090755      0.6310977E+09
    6.151969      0.5270495E+09
    6.213798      0.3032530E+09
    6.276248      0.7440895E+08
    6.339326      0.3761816E+09
    6.403038      0.3982435E+09
    6.467390      0.4016073E+09
    6.532389      0.3123800E+09
    6.598041      0.1859863E+09
    6.664353      0.1774946E+09
    6.731331      0.4768075E+08
    6.798983      0.4778966E+08
    6.867314      0.5096451E+08
    6.936333      0.1314943E+08
    7.006044      0.1156773E+08
    7.076457      0.5606956E+07
    7.147577      0.3088843E+07
    7.219412      0.1475549E+07
    7.291969      0.1257551E+07
    7.365255      0.5956122E+06
    7.439278      0.5487135E+06
    7.514044      0.5048880E+06
    7.589562      0.5688448E+06
    7.665839      0.5356240E+06
    7.742883      0.3309165E+06
    7.820701      0.2276284E+06
    7.899301      0.1497642E+06
    7.978691      0.4383558E+05
    8.058879      0.1421471E+05
    8.139872      0.6297134E+04
    8.221680      0.7630492E+04
    8.304310      0.3498878E+04
    8.387771      0.9014728E+04
    8.472070      0.1732693E+05
    8.557216      0.1323259E+05
    8.643218      0.4501753E+05
    8.730085      0.8628334E+05
    8.817824      0.1052199E+06
    8.906446      0.3492135E+06
    8.995958      0.4704222E+06
    9.086369      0.1050669E+07
    9.177690      0.2028549E+07
    9.269928      0.2644017E+07
    9.363093      0.4770489E+07
    9.457194      0.6135738E+07
    9.552242      0.9945566E+07
    9.648244      0.9501993E+07
    9.745211      0.1027128E+08
    9.843153      0.1141651E+08
    9.942079      0.1313772E+08
   10.042000      0.1207149E+08
   10.142920      0.1135483E+08
   10.244860      0.1370877E+08
   10.347830      0.2113890E+08
   10.451820      0.1373912E+08
   10.556870      0.1388185E+08
   10.662970      0.1448346E+08
   10.770130      0.1959816E+08
   10.878380      0.9291881E+07
   10.987710      0.7705045E+07
   11.098140      0.4411788E+07
   11.209670      0.6140860E+07
   11.322330      0.3925211E+07
   11.436130      0.3585909E+07
   11.551060      0.2890038E+07
   11.667150      0.2618681E+07
   11.784410      0.2313996E+07
   11.902850      0.1172359E+07
   12.022470      0.1171405E+07
   12.143300      0.4604332E+06
   12.265350      0.5305447E+06
   12.388620      0.2530767E+06
   12.513130      0.1567942E+06
   12.638890      0.1115740E+06
   12.765910      0.5890533E+05
   12.894210      0.4542120E+05
   13.023800      0.3014042E+05
   13.154690      0.1793571E+05
   13.286900      0.1440838E+05
   13.420440      0.1611748E+05
   13.555320      0.8270387E+04
   13.691550      0.1041043E+05
   13.829150      0.5984270E+04
   13.968140      0.7466080E+04
   14.108520      0.3334893E+05
   14.250320      0.1038690E+06
   14.393540      0.2985872E+06
   14.538200      0.8231868E+06
   14.684310      0.1324428E+07
   14.831890      0.1870935E+07
   14.980950      0.2590913E+07
   15.131520      0.1693998E+07
   15.283590      0.1127798E+07
   15.437190      0.6713443E+06
   15.592340      0.2322826E+06
   15.749050      0.1408986E+06
   15.907330      0.3915049E+05
   15.993430      0.7324467E+05
