#Kzz [cm^2/s]      P [bar]
   5.000E+008   2.139E-001
   5.000E+008   1.446E-001
   5.000E+008   9.778E-002
   5.000E+008   6.611E-002
   5.000E+008   4.469E-002
   5.000E+008   3.022E-002
   5.000E+008   2.043E-002
   5.000E+008   1.381E-002
   5.000E+008   9.337E-003
   5.000E+008   6.313E-003
   5.000E+008   4.268E-003
   5.000E+008   2.885E-003
   5.000E+008   1.951E-003
   5.000E+008   1.319E-003
   5.000E+008   8.917E-004
   5.000E+008   6.028E-004
   5.000E+008   4.076E-004
   5.000E+008   2.755E-004
   5.000E+008   1.863E-004
   5.000E+008   1.259E-004
   5.000E+008   8.515E-005
   5.000E+008   5.756E-005
   5.000E+008   3.892E-005
   5.000E+008   2.631E-005
   5.000E+008   1.779E-005
   5.000E+008   1.203E-005
   5.000E+008   8.131E-006
   5.000E+008   5.497E-006
   5.000E+008   3.716E-006
   5.000E+008   2.513E-006
   5.000E+008   1.699E-006
   5.000E+008   1.148E-006
   5.000E+008   7.764E-007
   5.000E+008   5.249E-007
   5.000E+008   3.549E-007
   5.000E+008   2.399E-007
   5.000E+008   1.622E-007
   5.000E+008   1.097E-007
   5.000E+008   7.414E-008
   5.000E+008   5.013E-008
   5.000E+008   3.389E-008
   5.000E+008   2.291E-008
   5.000E+008   1.549E-008
   5.000E+008   1.047E-008
   5.000E+008   7.080E-009
   5.000E+008   4.787E-009
   5.000E+008   3.236E-009
   5.000E+008   2.188E-009
   5.000E+008   1.479E-009
   5.000E+008   1.000E-009
