#  lambda [mu]  total average tau
    6.030151      0.1860196E+07
    6.090755      0.2506440E+07
    6.151969      0.3920462E+07
    6.213798      0.1782837E+07
    6.276248      0.7846782E+06
    6.339326      0.1434368E+07
    6.403038      0.2201708E+07
    6.467390      0.2259304E+07
    6.532389      0.2542455E+07
    6.598041      0.2149123E+07
    6.664353      0.1625839E+07
    6.731331      0.8271878E+06
    6.798983      0.6759188E+06
    6.867314      0.7033708E+06
    6.936333      0.3207387E+06
    7.006044      0.4061892E+06
    7.076457      0.2822062E+06
    7.147577      0.2111053E+06
    7.219412      0.1402340E+06
    7.291969      0.2794060E+06
    7.365255      0.5563558E+06
    7.439278      0.9147918E+06
    7.514044      0.8773155E+06
    7.589562      0.2658250E+06
    7.665839      0.1816366E+07
    7.742883      0.5798916E+06
    7.820701      0.5285949E+06
    7.899301      0.5735643E+06
    7.978691      0.3688193E+06
    8.058879      0.2278197E+06
    8.139872      0.1122231E+06
    8.221680      0.1435144E+06
    8.304310      0.5391767E+05
    8.387771      0.2459506E+06
    8.472070      0.4601373E+06
    8.557216      0.1330015E+06
    8.643218      0.1130035E+07
    8.730085      0.1440732E+07
    8.817824      0.7380630E+06
    8.906446      0.3241732E+07
    8.995958      0.1418282E+07
    9.086369      0.4311166E+07
    9.177690      0.6614325E+07
    9.269928      0.5232916E+07
    9.363093      0.5921797E+07
    9.457194      0.3500055E+07
    9.552242      0.7703956E+07
    9.648244      0.6836625E+07
    9.745211      0.3193301E+07
    9.843153      0.4215660E+07
    9.942079      0.4016720E+07
   10.042000      0.5907295E+07
   10.142920      0.1972570E+06
   10.244860      0.1241571E+07
   10.347830      0.3342460E+08
   10.451820      0.2547989E+07
   10.556870      0.2086834E+07
   10.662970      0.3947640E+07
   10.770130      0.3106126E+08
   10.878380      0.2317647E+07
   10.987710      0.4668007E+07
   11.098140      0.1130332E+06
   11.209670      0.4898980E+07
   11.322330      0.1616640E+06
   11.436130      0.2173245E+07
   11.551060      0.4625694E+07
   11.667150      0.3573076E+07
   11.784410      0.3975725E+07
   11.902850      0.1220075E+06
   12.022470      0.3235741E+07
   12.143300      0.4257330E+06
   12.265350      0.3637581E+07
   12.388620      0.1647078E+07
   12.513130      0.1284336E+07
   12.638890      0.9148183E+06
   12.765910      0.7243286E+06
   12.894210      0.6523796E+06
   13.023800      0.5121779E+06
   13.154690      0.4635105E+06
   13.286900      0.2860912E+06
   13.420440      0.4245899E+06
   13.555320      0.2911797E+06
   13.691550      0.1888612E+06
   13.829150      0.1455127E+06
   13.968140      0.8217327E+05
   14.108520      0.1533298E+06
   14.250320      0.5369118E+05
   14.393540      0.1024679E+06
   14.538200      0.4439613E+05
   14.684310      0.2249469E+05
   14.831890      0.1561269E+05
   14.980950      0.1426103E+05
   15.131520      0.1519062E+05
   15.283590      0.1620181E+05
   15.437190      0.4230826E+05
   15.592340      0.4787684E+05
   15.749050      0.1663596E+06
   15.907330      0.6336132E+06
   15.993430      0.4294491E+06
