#   radius [cm]    height [cm]  dens [g/cm^3]   N [1/cm^3]     T [K]    P [bar]g [cm/s^2]       MMW
 6.1691596E+008   -4.7338E+005    4.6462E-002  1.6093E+021   143.809 3.195E+001  1689.963    17.386
 6.1707595E+008   -3.1340E+005    2.5963E-002  8.9929E+020   157.090 1.950E+001  1689.091    17.386
 6.1730502E+008   -8.4328E+004    1.4592E-002  5.0544E+020   170.609 1.191E+001  1687.841    17.386
 6.1755324E+008    1.6389E+005    8.2499E-003  2.8575E+020   184.205 7.267E+000  1686.486    17.386
 6.1782064E+008    4.3129E+005    4.6920E-003  1.6252E+020   197.703 4.436E+000  1685.028    17.386
 6.1810699E+008    7.1764E+005    2.6847E-003  9.2991E+019   210.908 2.708E+000  1683.467    17.386
 6.1841179E+008    1.0224E+006    1.5456E-003  5.3537E+019   223.618 1.653E+000  1681.809    17.386
 6.1873425E+008    1.3449E+006    8.9542E-004  3.1015E+019   235.620 1.009E+000  1680.056    17.386
 6.1907329E+008    1.6839E+006    5.2203E-004  1.8081E+019   246.701 6.159E-001  1678.217    17.386
 6.1942750E+008    2.0382E+006    3.0630E-004  1.0609E+019   256.651 3.759E-001  1676.298    17.386
 6.1979521E+008    2.4059E+006    1.8089E-004  6.2656E+018   265.270 2.295E-001  1674.310    17.386
 6.2017445E+008    2.7851E+006    1.0754E-004  3.7248E+018   272.376 1.401E-001  1672.263    17.386
 6.2056302E+008    3.1737E+006    6.4358E-005  2.2292E+018   277.809 8.550E-002  1670.169    17.386
 6.2095848E+008    3.5691E+006    3.8779E-005  1.3432E+018   281.436 5.219E-002  1668.043    17.386
 6.2135824E+008    3.9689E+006    2.3527E-005  8.1491E+017   283.159 3.186E-002  1665.897    17.386
 6.2175966E+008    4.3703E+006    1.4367E-005  4.9762E+017   283.050 1.945E-002  1663.747    17.386
 6.2216049E+008    4.7711E+006    8.8150E-006  3.0532E+017   281.591 1.187E-002  1661.604    17.386
 6.2255883E+008    5.1695E+006    5.4340E-006  1.8822E+017   278.833 7.246E-003  1659.478    17.386
 6.2295284E+008    5.5635E+006    3.3657E-006  1.1658E+017   274.794 4.423E-003  1657.379    17.386
 6.2334071E+008    5.9514E+006    2.0947E-006  7.2556E+016   269.512 2.700E-003  1655.318    17.386
 6.2372066E+008    6.3313E+006    1.3101E-006  4.5378E+016   263.041 1.648E-003  1653.301    17.386
 6.2409103E+008    6.7017E+006    8.2345E-007  2.8522E+016   255.454 1.006E-003  1651.340    17.386
 6.2445025E+008    7.0609E+006    5.2018E-007  1.8018E+016   246.841 6.140E-004  1649.440    17.386
 6.2479688E+008    7.4075E+006    3.3029E-007  1.1440E+016   237.304 3.748E-004  1647.611    17.386
 6.2512964E+008    7.7403E+006    2.1080E-007  7.3016E+015   226.957 2.288E-004  1645.857    17.386
 6.2544740E+008    8.0581E+006    1.3525E-007  4.6846E+015   215.926 1.397E-004  1644.185    17.386
 6.2574924E+008    8.3599E+006    8.7238E-008  3.0217E+015   204.341 8.525E-005  1642.599    17.386
 6.2603440E+008    8.6451E+006    5.6574E-008  1.9596E+015   192.338 5.204E-005  1641.103    17.386
 6.2630234E+008    8.9130E+006    3.6890E-008  1.2777E+015   180.054 3.176E-005  1639.699    17.386
 6.2655270E+008    9.1634E+006    2.4188E-008  8.3778E+014   167.625 1.939E-005  1638.389    17.386
 6.2678534E+008    9.3960E+006    1.5948E-008  5.5240E+014   155.182 1.184E-005  1637.173    17.386
 6.2700027E+008    9.6109E+006    1.0575E-008  3.6630E+014   142.849 7.224E-006  1636.051    17.386
 6.2719771E+008    9.8084E+006    7.0531E-009  2.4430E+014   130.743 4.410E-006  1635.021    17.386
 6.2737802E+008    9.9887E+006    4.7313E-009  1.6388E+014   118.969 2.692E-006  1634.081    17.386
 6.2754172E+008    1.0152E+007    3.1926E-009  1.1058E+014   107.620 1.643E-006  1633.229    17.386
 6.2768947E+008    1.0300E+007    2.1672E-009  7.5066E+013    96.775 1.003E-006  1632.460    17.386
 6.2782201E+008    1.0433E+007    1.4800E-009  5.1264E+013    86.499 6.122E-007  1631.771    17.386
 6.2794018E+008    1.0551E+007    1.0169E-009  3.5224E+013    76.845 3.737E-007  1631.157    17.386
 6.2804489E+008    1.0656E+007    7.0307E-010  2.4352E+013    67.847 2.281E-007  1630.613    17.386
 6.2813070E+008    1.0741E+007    5.7444E-010  1.9897E+013    50.688 1.392E-007  1630.168    17.386
 6.2818838E+008    1.0799E+007    6.1363E-010  2.1254E+013    28.965 8.500E-008  1629.868    17.386
 6.2822011E+008    1.0831E+007    7.3004E-010  2.5286E+013    14.861 5.188E-008  1629.704    17.386
 6.2823672E+008    1.0847E+007    8.2155E-010  2.8456E+013     8.061 3.167E-008  1629.617    17.386
 6.2824651E+008    1.0857E+007    7.3964E-010  2.5619E+013     5.465 1.933E-008  1629.567    17.386
 6.2825458E+008    1.0865E+007    4.3494E-010  1.5065E+013     5.673 1.180E-008  1629.525    17.386
 6.2826898E+008    1.0880E+007    1.0608E-010  3.6742E+012    14.199 7.203E-009  1629.450    17.386
 6.2832211E+008    1.0933E+007    1.5543E-011  5.3836E+011    59.153 4.397E-009  1629.174    17.386
 6.2853467E+008    1.1145E+007    2.3971E-012  8.3030E+010   234.120 2.684E-009  1628.073    17.386
 6.2907359E+008    1.1684E+007    6.7369E-013  2.3334E+010   508.506 1.638E-009  1625.284    17.386
 6.2945590E+008    1.2067E+007    5.8845E-012  2.0382E+011    35.536 1.000E-009  1623.311    17.386
