#Kzz [cm^2/s]      P [bar]
   5.000E+008   3.195E+001
   5.000E+008   1.950E+001
   5.000E+008   1.191E+001
   5.000E+008   7.267E+000
   5.000E+008   4.436E+000
   5.000E+008   2.708E+000
   5.000E+008   1.653E+000
   5.000E+008   1.009E+000
   5.000E+008   6.159E-001
   5.000E+008   3.759E-001
   5.000E+008   2.295E-001
   5.000E+008   1.401E-001
   5.000E+008   8.550E-002
   5.000E+008   5.219E-002
   5.000E+008   3.186E-002
   5.000E+008   1.945E-002
   5.000E+008   1.187E-002
   5.000E+008   7.246E-003
   5.000E+008   4.423E-003
   5.000E+008   2.700E-003
   5.000E+008   1.648E-003
   5.000E+008   1.006E-003
   5.000E+008   6.140E-004
   5.000E+008   3.748E-004
   5.000E+008   2.288E-004
   5.000E+008   1.397E-004
   5.000E+008   8.525E-005
   5.000E+008   5.204E-005
   5.000E+008   3.176E-005
   5.000E+008   1.939E-005
   5.000E+008   1.184E-005
   5.000E+008   7.224E-006
   5.000E+008   4.410E-006
   5.000E+008   2.692E-006
   5.000E+008   1.643E-006
   5.000E+008   1.003E-006
   5.000E+008   6.122E-007
   5.000E+008   3.737E-007
   5.000E+008   2.281E-007
   5.000E+008   1.392E-007
   5.000E+008   8.500E-008
   5.000E+008   5.188E-008
   5.000E+008   3.167E-008
   5.000E+008   1.933E-008
   5.000E+008   1.180E-008
   5.000E+008   7.203E-009
   5.000E+008   4.397E-009
   5.000E+008   2.684E-009
   5.000E+008   1.638E-009
   5.000E+008   1.000E-009
