#    T [K]      P [bar]     H2O            CO2            CH4            NH3            N2             H2        
   143.809   3.195E+001    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   157.090   1.950E+001    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   170.609   1.191E+001    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   184.205   7.267E+000    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   197.703   4.436E+000    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   210.908   2.708E+000    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   223.618   1.653E+000    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   235.620   1.009E+000    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   246.701   6.159E-001    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   256.651   3.759E-001    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   265.270   2.295E-001    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   272.376   1.401E-001    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   277.809   8.550E-002    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   281.436   5.219E-002    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   283.159   3.186E-002    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   283.050   1.945E-002    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   281.591   1.187E-002    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   278.833   7.246E-003    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   274.794   4.423E-003    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   269.512   2.700E-003    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   263.041   1.648E-003    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
   255.454   1.006E-003    5.2445E-001    4.6714E-006    2.2194E-007    4.6823E-001    2.9132E-003    4.3965E-003
