#       P [bar]       C/O       [O]       [C]
     2.9191E+00     0.771     2.129     2.276
     1.8710E+00     0.771     2.129     2.276
     1.1993E+00     0.771     2.129     2.276
     7.6868E-01     0.771     2.129     2.276
     4.9269E-01     0.771     2.129     2.276
     3.1580E-01     0.771     2.129     2.276
     2.0241E-01     0.771     2.129     2.276
     1.2974E-01     0.771     2.129     2.276
     8.3158E-02     0.771     2.129     2.276
     5.3301E-02     0.771     2.129     2.276
     3.4164E-02     0.771     2.129     2.276
     2.1898E-02     0.771     2.129     2.276
     1.4036E-02     0.771     2.129     2.276
     8.9962E-03     0.771     2.129     2.276
     5.7662E-03     0.771     2.129     2.276
     3.6959E-03     0.771     2.129     2.276
     2.3689E-03     0.771     2.129     2.276
     1.5184E-03     0.771     2.129     2.276
     9.7324E-04     0.771     2.129     2.276
     6.2381E-04     0.771     2.129     2.276
     3.9984E-04     0.771     2.129     2.276
     2.5628E-04     0.771     2.129     2.276
     1.6427E-04     0.771     2.129     2.276
     1.0529E-04     0.771     2.129     2.276
     6.7485E-05     0.771     2.129     2.276
     4.3255E-05     0.771     2.129     2.276
     2.7725E-05     0.771     2.129     2.276
     1.7771E-05     0.771     2.129     2.276
     1.1390E-05     0.771     2.129     2.276
     7.3007E-06     0.771     2.129     2.276
     4.6795E-06     0.771     2.129     2.276
     2.9994E-06     0.771     2.129     2.276
     1.9225E-06     0.771     2.129     2.276
     1.2322E-06     0.771     2.129     2.276
     7.8981E-07     0.771     2.129     2.276
     5.0624E-07     0.771     2.129     2.276
     3.2448E-07     0.771     2.129     2.276
     2.0798E-07     0.771     2.129     2.276
     1.3331E-07     0.771     2.129     2.276
     8.5444E-08     0.771     2.129     2.276
     5.4767E-08     0.771     2.129     2.276
     3.5103E-08     0.771     2.129     2.276
     2.2500E-08     0.771     2.129     2.276
     1.4421E-08     0.771     2.129     2.276
     9.2436E-09     0.771     2.129     2.276
     5.9248E-09     0.771     2.129     2.276
     3.7976E-09     0.771     2.129     2.276
     2.4341E-09     0.771     2.129     2.276
     1.5602E-09     0.771     2.129     2.276
     1.0000E-09     0.771     2.129     2.276
