#       P [bar]       C/O       [O]       [C]
     7.0055E+00     0.059    -0.113    -1.083
     4.4108E+00     0.059    -0.113    -1.083
     2.7771E+00     0.059    -0.113    -1.083
     1.7485E+00     0.059    -0.113    -1.083
     1.1009E+00     0.059    -0.113    -1.083
     6.9311E-01     0.059    -0.113    -1.083
     4.3639E-01     0.059    -0.113    -1.083
     2.7476E-01     0.059    -0.113    -1.083
     1.7299E-01     0.059    -0.113    -1.083
     1.0892E-01     0.059    -0.113    -1.083
     6.8575E-02     0.059    -0.113    -1.083
     4.3176E-02     0.059    -0.113    -1.083
     2.7184E-02     0.059    -0.113    -1.083
     1.7115E-02     0.059    -0.113    -1.083
     1.0776E-02     0.059    -0.113    -1.083
     6.7847E-03     0.059    -0.113    -1.083
     4.2717E-03     0.059    -0.113    -1.083
     2.6895E-03     0.059    -0.113    -1.083
     1.6934E-03     0.059    -0.113    -1.083
     1.0662E-03     0.059    -0.113    -1.083
     6.7126E-04     0.059    -0.113    -1.083
     4.2264E-04     0.059    -0.113    -1.083
     2.6610E-04     0.059    -0.113    -1.083
     1.6754E-04     0.059    -0.113    -1.083
     1.0548E-04     0.059    -0.113    -1.083
     6.6414E-05     0.059    -0.113    -1.083
     4.1815E-05     0.059    -0.113    -1.083
     2.6327E-05     0.059    -0.113    -1.083
     1.6576E-05     0.059    -0.113    -1.083
     1.0436E-05     0.059    -0.113    -1.083
     6.5708E-06     0.059    -0.113    -1.083
     4.1371E-06     0.059    -0.113    -1.083
     2.6047E-06     0.059    -0.113    -1.083
     1.6400E-06     0.059    -0.113    -1.083
     1.0325E-06     0.059    -0.113    -1.083
     6.5010E-07     0.059    -0.113    -1.083
     4.0931E-07     0.059    -0.113    -1.083
     2.5771E-07     0.059    -0.113    -1.083
     1.6226E-07     0.059    -0.113    -1.083
     1.0216E-07     0.059    -0.113    -1.083
     6.4320E-08     0.059    -0.113    -1.083
     4.0497E-08     0.059    -0.113    -1.083
     2.5497E-08     0.059    -0.113    -1.083
     1.6053E-08     0.059    -0.113    -1.083
     1.0107E-08     0.059    -0.113    -1.083
     6.3637E-09     0.059    -0.113    -1.083
     4.0067E-09     0.059    -0.113    -1.083
     2.5226E-09     0.059    -0.113    -1.083
     1.5883E-09     0.059    -0.113    -1.083
     1.0000E-09     0.059    -0.113    -1.083
