#  lambda [mu]  total average tau
    6.030151      0.4790494E+06
    6.090755      0.1305040E+07
    6.151969      0.2734948E+07
    6.213798      0.1812189E+07
    6.276248      0.1092344E+07
    6.339326      0.8168497E+06
    6.403038      0.7709616E+06
    6.467390      0.8078134E+06
    6.532389      0.1020287E+07
    6.598041      0.1088383E+07
    6.664353      0.1148697E+07
    6.731331      0.1145490E+07
    6.798983      0.9899212E+06
    6.867314      0.8804207E+06
    6.936333      0.7794591E+06
    7.006044      0.6797389E+06
    7.076457      0.7327345E+06
    7.147577      0.5241500E+06
    7.219412      0.3660912E+06
    7.291969      0.2560928E+06
    7.365255      0.2002031E+06
    7.439278      0.1718864E+06
    7.514044      0.1843040E+06
    7.589562      0.2011096E+06
    7.665839      0.2752665E+06
    7.742883      0.3094522E+06
    7.820701      0.3764139E+06
    7.899301      0.5003394E+06
    7.978691      0.6540847E+06
    8.058879      0.6925676E+06
    8.139872      0.9991095E+06
    8.221680      0.1354454E+07
    8.304310      0.8203724E+06
    8.387771      0.2101276E+07
    8.472070      0.2265031E+07
    8.557216      0.1014737E+07
    8.643218      0.3573381E+07
    8.730085      0.2730094E+07
    8.817824      0.2179275E+07
    8.906446      0.4156561E+07
    8.995958      0.2584677E+07
    9.086369      0.3946007E+07
    9.177690      0.4419860E+07
    9.269928      0.3796823E+07
    9.363093      0.2757614E+07
    9.457194      0.2490368E+07
    9.552242      0.2661161E+07
    9.648244      0.2967283E+07
    9.745211      0.1298056E+07
    9.843153      0.1497249E+07
    9.942079      0.1107412E+07
   10.042000      0.1716666E+07
   10.142920      0.4123227E+06
   10.244860      0.6613017E+06
   10.347830      0.1829327E+08
   10.451820      0.9150093E+07
   10.556870      0.4809020E+07
   10.662970      0.5643734E+07
   10.770130      0.1662859E+08
   10.878380      0.5371906E+07
   10.987710      0.4154363E+07
   11.098140      0.1421933E+07
   11.209670      0.2308956E+07
   11.322330      0.7342883E+06
   11.436130      0.1148459E+07
   11.551060      0.2820187E+07
   11.667150      0.1901830E+07
   11.784410      0.2591953E+07
   11.902850      0.8547742E+06
   12.022470      0.2359201E+07
   12.143300      0.1096788E+07
   12.265350      0.2993149E+07
   12.388620      0.2874976E+07
   12.513130      0.2105414E+07
   12.638890      0.1787872E+07
   12.765910      0.2285213E+07
   12.894210      0.1799937E+07
   13.023800      0.1991082E+07
   13.154690      0.1809731E+07
   13.286900      0.1522018E+07
   13.420440      0.2025632E+07
   13.555320      0.1825358E+07
   13.691550      0.1666630E+07
   13.829150      0.1123667E+07
   13.968140      0.1064468E+07
   14.108520      0.1793348E+07
   14.250320      0.1101855E+07
   14.393540      0.1095791E+07
   14.538200      0.9427800E+06
   14.684310      0.1107136E+07
   14.831890      0.8086727E+06
   14.980950      0.9641824E+06
   15.131520      0.9444798E+06
   15.283590      0.8260279E+06
   15.437190      0.1555806E+07
   15.592340      0.1279405E+07
   15.749050      0.1945777E+07
   15.907330      0.4690372E+07
   15.993430      0.3433484E+07
