#   radius [cm]    height [cm]  dens [g/cm^3]   N [1/cm^3]     T [K]    P [bar]g [cm/s^2]       MMW
 5.7306625E+008   -1.8795E+006    8.8174E-003  1.9534E+020  1175.647 3.171E+001  1588.620    27.184
 5.7381356E+008   -1.1322E+006    6.4379E-003  1.4262E+020   983.023 1.936E+001  1584.490    27.184
 5.7467769E+008   -2.6807E+005    4.6623E-003  1.0329E+020   828.706 1.182E+001  1579.731    27.184
 5.7541113E+008    4.6537E+005    3.3471E-003  7.4149E+019   704.733 7.215E+000  1575.708    27.184
 5.7603901E+008    1.0932E+006    2.3807E-003  5.2741E+019   604.887 4.405E+000  1572.277    27.184
 5.7658149E+008    1.6357E+006    1.6768E-003  3.7147E+019   524.308 2.689E+000  1569.320    27.184
 5.7705481E+008    2.1090E+006    1.1689E-003  2.5894E+019   459.198 1.642E+000  1566.747    27.184
 5.7747213E+008    2.5264E+006    8.0594E-004  1.7854E+019   406.587 1.002E+000  1564.484    27.184
 5.7784414E+008    2.8984E+006    5.4937E-004  1.2170E+019   364.152 6.119E-001  1562.470    27.184
 5.7817964E+008    3.2339E+006    3.7001E-004  8.1969E+018   330.086 3.736E-001  1560.657    27.184
 5.7848592E+008    3.5402E+006    2.4610E-004  5.4518E+018   302.987 2.281E-001  1559.005    27.184
 5.7876912E+008    3.8234E+006    1.6155E-004  3.5789E+018   281.781 1.392E-001  1557.480    27.184
 5.7903450E+008    4.0887E+006    1.0461E-004  2.3175E+018   265.660 8.500E-002  1556.053    27.184
 5.7928665E+008    4.3409E+006    6.6787E-005  1.4796E+018   254.043 5.189E-002  1554.698    27.184
 5.7952974E+008    4.5840E+006    4.2014E-005  9.3076E+017   246.544 3.168E-002  1553.394    27.184
 5.7976764E+008    4.8219E+006    2.6029E-005  5.7664E+017   242.952 1.934E-002  1552.120    27.184
 5.8000391E+008    5.0581E+006    1.5901E-005  3.5227E+017   242.794 1.181E-002  1550.856    27.184
 5.8024090E+008    5.2951E+006    9.6586E-006  2.1397E+017   244.034 7.209E-003  1549.589    27.184
 5.8047979E+008    5.5340E+006    5.8429E-006  1.2944E+017   246.279 4.401E-003  1548.314    27.184
 5.8072148E+008    5.7757E+006    3.5227E-006  7.8040E+016   249.384 2.687E-003  1547.025    27.184
 5.8096675E+008    6.0210E+006    2.1182E-006  4.6925E+016   253.205 1.640E-003  1545.719    27.184
 5.8121624E+008    6.2705E+006    1.2711E-006  2.8160E+016   257.597 1.002E-003  1544.393    27.184
 5.8147045E+008    6.5247E+006    7.6182E-007  1.6877E+016   262.403 6.114E-004  1543.043    27.184
 5.8172970E+008    6.7839E+006    4.5630E-007  1.0109E+016   267.459 3.733E-004  1541.668    27.184
 5.8199418E+008    7.0484E+006    2.7333E-007  6.0553E+015   272.588 2.279E-004  1540.267    27.184
 5.8226387E+008    7.3181E+006    1.6386E-007  3.6301E+015   277.597 1.391E-004  1538.840    27.184
 5.8253856E+008    7.5928E+006    9.8379E-008  2.1794E+015   282.280 8.494E-005  1537.389    27.184
 5.8281785E+008    7.8721E+006    5.9193E-008  1.3113E+015   286.419 5.186E-005  1535.916    27.184
 5.8310110E+008    8.1553E+006    3.5718E-008  7.9127E+014   289.788 3.166E-005  1534.424    27.184
 5.8338745E+008    8.4417E+006    2.1629E-008  4.7916E+014   292.155 1.933E-005  1532.918    27.184
 5.8367581E+008    8.7300E+006    1.3154E-008  2.9140E+014   293.292 1.180E-005  1531.404    27.184
 5.8390692E+008    8.9612E+006    1.3418E-008  2.9726E+014   175.524 7.204E-006  1530.192    27.184
 5.8403968E+008    9.0939E+006    1.5358E-008  3.4023E+014    93.626 4.398E-006  1529.497    27.184
 5.8411028E+008    9.1645E+006    1.7753E-008  3.9328E+014    49.449 2.685E-006  1529.127    27.184
 5.8414777E+008    9.2020E+006    2.0223E-008  4.4802E+014    26.501 1.639E-006  1528.931    27.184
 5.8416814E+008    9.2224E+006    2.2151E-008  4.9071E+014    14.771 1.001E-006  1528.824    27.184
 5.8417977E+008    9.2340E+006    2.2729E-008  5.0353E+014     8.788 6.110E-007  1528.763    27.184
 5.8418695E+008    9.2412E+006    2.1183E-008  4.6928E+014     5.757 3.730E-007  1528.726    27.184
 5.8419191E+008    9.2461E+006    1.7301E-008  3.8328E+014     4.303 2.277E-007  1528.700    27.184
 5.8419588E+008    9.2501E+006    1.2209E-008  2.7047E+014     3.723 1.390E-007  1528.679    27.184
 5.8419951E+008    9.2537E+006    7.6284E-009  1.6900E+014     3.638 8.488E-008  1528.660    27.184
 5.8420313E+008    9.2574E+006    4.5730E-009  1.0131E+014     3.705 5.182E-008  1528.641    27.184
 5.8420688E+008    9.2611E+006    2.6643E-009  5.9023E+013     3.882 3.163E-008  1528.621    27.184
 5.8421089E+008    9.2651E+006    1.4910E-009  3.3031E+013     4.235 1.931E-008  1528.600    27.184
 5.8421539E+008    9.2696E+006    7.8992E-010  1.7499E+013     4.880 1.179E-008  1528.577    27.184
 5.8422077E+008    9.2750E+006    3.9079E-010  8.6573E+012     6.022 7.198E-009  1528.549    27.184
 5.8422771E+008    9.2819E+006    1.7887E-010  3.9626E+012     8.033 4.395E-009  1528.512    27.184
 5.8423743E+008    9.2917E+006    7.5311E-011  1.6684E+012    11.648 2.683E-009  1528.461    27.184
 5.8425229E+008    9.3065E+006    2.9005E-011  6.4255E+011    18.464 1.638E-009  1528.384    27.184
 5.8426936E+008    9.3236E+006    1.0147E-011  2.2479E+011    32.221 1.000E-009  1528.294    27.184
