#    T [K]      P [bar]     H2O            CO2            CH4            NH3            N2             H2        
  1175.647   3.171E+001    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   983.023   1.936E+001    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   828.706   1.182E+001    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   704.733   7.215E+000    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   604.887   4.405E+000    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   524.308   2.689E+000    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   459.198   1.642E+000    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   406.587   1.002E+000    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   364.152   6.119E-001    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   330.086   3.736E-001    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   302.987   2.281E-001    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   281.781   1.392E-001    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   265.660   8.500E-002    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   254.043   5.189E-002    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   246.544   3.168E-002    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   242.952   1.934E-002    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   242.794   1.181E-002    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   244.034   7.209E-003    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   246.279   4.401E-003    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   249.384   2.687E-003    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   253.205   1.640E-003    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   257.597   1.002E-003    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   262.403   6.114E-004    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   267.459   3.733E-004    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   272.588   2.279E-004    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   277.597   1.391E-004    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   282.280   8.494E-005    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   286.419   5.186E-005    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   289.788   3.166E-005    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   292.155   1.933E-005    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   293.292   1.180E-005    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
   175.524   7.204E-006    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
    93.626   4.398E-006    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
    49.449   2.685E-006    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
    26.501   1.639E-006    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
    14.771   1.001E-006    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
     8.788   6.110E-007    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
     5.757   3.730E-007    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
     4.303   2.277E-007    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
     3.723   1.390E-007    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
     3.638   8.488E-008    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
     3.705   5.182E-008    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
     3.882   3.163E-008    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
     4.235   1.931E-008    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
     4.880   1.179E-008    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
     6.022   7.198E-009    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
     8.033   4.395E-009    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
    11.648   2.683E-009    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
    18.464   1.638E-009    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
    32.221   1.000E-009    6.1843E-008    8.0120E-010    2.0173E-010    5.7421E-002    9.4253E-001    4.7614E-005
