#       P [bar]       C/O       [O]       [C]
     5.9678E+00     0.574     3.827     3.846
     3.7697E+00     0.574     3.827     3.846
     2.3812E+00     0.574     3.827     3.846
     1.5042E+00     0.574     3.827     3.846
     9.5015E-01     0.574     3.827     3.846
     6.0018E-01     0.574     3.827     3.846
     3.7912E-01     0.574     3.827     3.846
     2.3948E-01     0.574     3.827     3.846
     1.5127E-01     0.574     3.827     3.846
     9.5556E-02     0.574     3.827     3.846
     6.0360E-02     0.574     3.827     3.846
     3.8128E-02     0.574     3.827     3.846
     2.4085E-02     0.574     3.827     3.846
     1.5214E-02     0.574     3.827     3.846
     9.6101E-03     0.574     3.827     3.846
     6.0704E-03     0.574     3.827     3.846
     3.8345E-03     0.574     3.827     3.846
     2.4222E-03     0.574     3.827     3.846
     1.5300E-03     0.574     3.827     3.846
     9.6648E-04     0.574     3.827     3.846
     6.1050E-04     0.574     3.827     3.846
     3.8564E-04     0.574     3.827     3.846
     2.4360E-04     0.574     3.827     3.846
     1.5388E-04     0.574     3.827     3.846
     9.7199E-05     0.574     3.827     3.846
     6.1398E-05     0.574     3.827     3.846
     3.8784E-05     0.574     3.827     3.846
     2.4499E-05     0.574     3.827     3.846
     1.5475E-05     0.574     3.827     3.846
     9.7753E-06     0.574     3.827     3.846
     6.1748E-06     0.574     3.827     3.846
     3.9005E-06     0.574     3.827     3.846
     2.4638E-06     0.574     3.827     3.846
     1.5563E-06     0.574     3.827     3.846
     9.8310E-07     0.574     3.827     3.846
     6.2100E-07     0.574     3.827     3.846
     3.9227E-07     0.574     3.827     3.846
     2.4779E-07     0.574     3.827     3.846
     1.5652E-07     0.574     3.827     3.846
     9.8870E-08     0.574     3.827     3.846
     6.2454E-08     0.574     3.827     3.846
     3.9450E-08     0.574     3.827     3.846
     2.4920E-08     0.574     3.827     3.846
     1.5741E-08     0.574     3.827     3.846
     9.9433E-09     0.574     3.827     3.846
     6.2810E-09     0.574     3.827     3.846
     3.9675E-09     0.574     3.827     3.846
     2.5062E-09     0.574     3.827     3.846
     1.5831E-09     0.574     3.827     3.846
     1.0000E-09     0.574     3.827     3.846
