#   radius [cm]    height [cm]  dens [g/cm^3]   N [1/cm^3]     T [K]    P [bar]g [cm/s^2]       MMW
 6.5937066E+008    6.1688E+004    2.7376E-004  6.0324E+018   230.707 1.921E-001  1107.194    27.329
 6.5955801E+008    2.4904E+005    1.8222E-004  4.0153E+018   234.843 1.302E-001  1106.565    27.329
 6.5981148E+008    5.0251E+005    1.2149E-004  2.6771E+018   238.661 8.821E-002  1105.715    27.329
 6.6006907E+008    7.6010E+005    8.1125E-005  1.7876E+018   242.164 5.977E-002  1104.852    27.329
 6.6033045E+008    1.0215E+006    5.4252E-005  1.1955E+018   245.355 4.050E-002  1103.977    27.329
 6.6059531E+008    1.2863E+006    3.6332E-005  8.0059E+017   248.241 2.744E-002  1103.092    27.329
 6.6086331E+008    1.5543E+006    2.4363E-005  5.3685E+017   250.828 1.859E-002  1102.198    27.329
 6.6113416E+008    1.8252E+006    1.6357E-005  3.6044E+017   253.128 1.260E-002  1101.295    27.329
 6.6140756E+008    2.0986E+006    1.0995E-005  2.4228E+017   255.152 8.535E-003  1100.385    27.329
 6.6168322E+008    2.3743E+006    7.3987E-006  1.6303E+017   256.914 5.783E-003  1099.468    27.329
 6.6196088E+008    2.6519E+006    4.9837E-006  1.0982E+017   258.428 3.918E-003  1098.546    27.329
 6.6224029E+008    2.9313E+006    3.3601E-006  7.4041E+016   259.711 2.655E-003  1097.619    27.329
 6.6252119E+008    3.2122E+006    2.2673E-006  4.9961E+016   260.779 1.799E-003  1096.689    27.329
 6.6280339E+008    3.4944E+006    1.5311E-006  3.3739E+016   261.651 1.219E-003  1095.755    27.329
 6.6308667E+008    3.7777E+006    1.0347E-006  2.2799E+016   262.346 8.258E-004  1094.819    27.329
 6.6337086E+008    4.0619E+006    6.9962E-007  1.5416E+016   262.882 5.595E-004  1093.881    27.329
 6.6365580E+008    4.3468E+006    4.7331E-007  1.0430E+016   263.281 3.791E-004  1092.942    27.329
 6.6394135E+008    4.6324E+006    3.2036E-007  7.0592E+015   263.561 2.569E-004  1092.002    27.329
 6.6422740E+008    4.9184E+006    2.1691E-007  4.7797E+015   263.744 1.740E-004  1091.062    27.329
 6.6451386E+008    5.2049E+006    1.4691E-007  3.2372E+015   263.850 1.179E-004  1090.121    27.329
 6.6480065E+008    5.4917E+006    9.9520E-008  2.1930E+015   263.901 7.990E-005  1089.181    27.329
 6.6508772E+008    5.7787E+006    6.7427E-008  1.4858E+015   263.916 5.414E-005  1088.241    27.329
 6.6537415E+008    6.0652E+006    4.5971E-008  1.0130E+015   262.275 3.668E-005  1087.304    27.329
 6.6564733E+008    6.3384E+006    3.4159E-008  7.5272E+014   239.156 2.485E-005  1086.412    27.329
 6.6588577E+008    6.5768E+006    2.7931E-008  6.1547E+014   198.176 1.684E-005  1085.634    27.329
 6.6607686E+008    6.7679E+006    2.4662E-008  5.4345E+014   152.073 1.141E-005  1085.011    27.329
 6.6621997E+008    6.9110E+006    2.3076E-008  5.0850E+014   110.120 7.731E-006  1084.545    27.329
 6.6632197E+008    7.0130E+006    2.2454E-008  4.9479E+014    76.679 5.238E-006  1084.213    27.329
 6.6639243E+008    7.0835E+006    2.2297E-008  4.9133E+014    52.321 3.549E-006  1083.984    27.329
 6.6644049E+008    7.1315E+006    2.2173E-008  4.8859E+014    35.649 2.405E-006  1083.827    27.329
 6.6647347E+008    7.1645E+006    2.1669E-008  4.7749E+014    24.716 1.629E-006  1083.720    27.329
 6.6649668E+008    7.1877E+006    2.0421E-008  4.4999E+014    17.770 1.104E-006  1083.645    27.329
 6.6651377E+008    7.2048E+006    1.8211E-008  4.0128E+014    13.501 7.480E-007  1083.589    27.329
 6.6652719E+008    7.2182E+006    1.5079E-008  3.3227E+014    11.048 5.068E-007  1083.545    27.329
 6.6653865E+008    7.2297E+006    1.1379E-008  2.5075E+014     9.919 3.434E-007  1083.508    27.329
 6.6655149E+008    7.2425E+006    5.6292E-009  1.2404E+014    13.586 2.327E-007  1083.466    27.329
 6.6659741E+008    7.2884E+006    7.3576E-010  1.6213E+013    70.430 1.577E-007  1083.317    27.329
 6.6676131E+008    7.4523E+006    1.5310E-010  3.3736E+012   229.334 1.068E-007  1082.785    27.329
 6.6700660E+008    7.6976E+006    1.0860E-010  2.3931E+012   219.052 7.238E-008  1081.988    27.329
 6.6722724E+008    7.9183E+006    8.7608E-011  1.9305E+012   183.987 4.904E-008  1081.273    27.329
 6.6740516E+008    8.0962E+006    7.7554E-011  1.7089E+012   140.822 3.323E-008  1080.697    27.329
 6.6753757E+008    8.2286E+006    7.3411E-011  1.6176E+012   100.801 2.251E-008  1080.268    27.329
 6.6763079E+008    8.3218E+006    7.2401E-011  1.5954E+012    69.251 1.525E-008  1079.966    27.329
 6.6769446E+008    8.3855E+006    7.2494E-011  1.5975E+012    46.861 1.034E-008  1079.760    27.329
 6.6773774E+008    8.4288E+006    7.1808E-011  1.5823E+012    32.054 7.003E-009  1079.620    27.329
 6.6776780E+008    8.4588E+006    6.8562E-011  1.5108E+012    22.747 4.745E-009  1079.523    27.329
 6.6778970E+008    8.4807E+006    6.1484E-011  1.3548E+012    17.187 3.215E-009  1079.452    27.329
 6.6780691E+008    8.4979E+006    5.0459E-011  1.1119E+012    14.189 2.178E-009  1079.397    27.329
 6.6782190E+008    8.5129E+006    3.6933E-011  8.1384E+011    13.135 1.476E-009  1079.348    27.329
 6.6784293E+008    8.5340E+006    6.5237E-012  1.4375E+011    50.385 1.000E-009  1079.280    27.329
