#  lambda [mu]  total average tau
    6.030151      0.4079352E+04
    6.090755      0.4666032E+04
    6.151969      0.4533529E+04
    6.213798      0.2220232E+04
    6.276248      0.7477716E+03
    6.339326      0.2406359E+04
    6.403038      0.3962264E+04
    6.467390      0.5678349E+04
    6.532389      0.5467610E+04
    6.598041      0.3543800E+04
    6.664353      0.2901556E+04
    6.731331      0.1475171E+04
    6.798983      0.1828022E+04
    6.867314      0.2273728E+04
    6.936333      0.1421148E+04
    7.006044      0.1397544E+04
    7.076457      0.9845825E+03
    7.147577      0.1021169E+04
    7.219412      0.3063517E+04
    7.291969      0.1770030E+05
    7.365255      0.6308098E+05
    7.439278      0.1378648E+06
    7.514044      0.1531340E+06
    7.589562      0.5084498E+05
    7.665839      0.2902216E+06
    7.742883      0.9149256E+05
    7.820701      0.8905275E+05
    7.899301      0.8610510E+05
    7.978691      0.4619153E+05
    8.058879      0.2482806E+05
    8.139872      0.7218164E+04
    8.221680      0.4470090E+04
    8.304310      0.1237093E+04
    8.387771      0.6311264E+03
    8.472070      0.3550486E+03
    8.557216      0.1582438E+03
    8.643218      0.4792345E+03
    8.730085      0.6321444E+03
    8.817824      0.3408965E+03
    8.906446      0.1523268E+04
    8.995958      0.6584150E+03
    9.086369      0.2236924E+04
    9.177690      0.3730835E+04
    9.269928      0.2997676E+04
    9.363093      0.3868114E+04
    9.457194      0.2267925E+04
    9.552242      0.5492827E+04
    9.648244      0.4499975E+04
    9.745211      0.2387750E+04
    9.843153      0.2966576E+04
    9.942079      0.3090121E+04
   10.042000      0.4249151E+04
   10.142920      0.3086276E+03
   10.244860      0.1150810E+04
   10.347830      0.2042685E+05
   10.451820      0.1474621E+04
   10.556870      0.1697301E+04
   10.662970      0.2502567E+04
   10.770130      0.1929076E+05
   10.878380      0.1143250E+04
   10.987710      0.3125601E+04
   11.098140      0.1267971E+03
   11.209670      0.3544622E+04
   11.322330      0.2095791E+03
   11.436130      0.1523672E+04
   11.551060      0.2647526E+04
   11.667150      0.2189283E+04
   11.784410      0.2281185E+04
   11.902850      0.1116336E+03
   12.022470      0.1950176E+04
   12.143300      0.2787168E+03
   12.265350      0.1910698E+04
   12.388620      0.7948005E+03
   12.513130      0.6407045E+03
   12.638890      0.8673877E+03
   12.765910      0.3658314E+03
   12.894210      0.4168452E+03
   13.023800      0.6097235E+03
   13.154690      0.1437968E+04
   13.286900      0.3818564E+04
   13.420440      0.1022561E+05
   13.555320      0.1913034E+05
   13.691550      0.1797203E+05
   13.829150      0.8475320E+05
   13.968140      0.2915574E+05
   14.108520      0.6910777E+05
   14.250320      0.2143427E+06
   14.393540      0.6886473E+06
   14.538200      0.1675819E+07
   14.684310      0.2724440E+07
   14.831890      0.2587289E+07
   14.980950      0.1911792E+08
   15.131520      0.1829683E+07
   15.283590      0.1923297E+07
   15.437190      0.1247351E+07
   15.592340      0.5057716E+06
   15.749050      0.1404606E+06
   15.907330      0.4705704E+05
   15.993430      0.2820054E+05
