# pmax       H2          H2O         CO2         CH4         NH3         N2          Rp          Mp          Tpoint001   Tpoint002   Tpoint003   Tpoint004   Tpoint005   Tpoint006   Ppoint002   Ppoint003   Ppoint004   Ppoint005           C/O         [Z]        Teff         MMW
 -3.2400E+00 -5.7984E-01 -4.6480E+00 -1.3929E+00 -7.8227E-01 -2.9064E+00 -4.9355E+00  8.4774E-02  2.6240E-03  2.8350E+00  2.4310E+00  9.1736E-01  2.3819E+00  2.3987E+00  2.2382E+00 -7.6732E+00 -5.1593E+00 -5.1348E+00 -3.3051E+00  1.1404E+00  3.0033E+00  2.0348E+02  2.7913E+01
 -1.5540E+00  3.2770E-01 -2.6870E+00 -4.6142E+00 -1.7631E+00 -4.3193E+00 -9.5258E-01  8.5979E-02  5.2700E-03  1.9860E+00  5.5958E-01  1.1847E+00  2.0449E+00  2.4167E+00  2.0594E+00 -4.9414E+00 -4.8927E+00 -4.4181E+00 -3.9536E+00  2.5393E+00  2.4399E+00  2.0197E+02  1.0524E+01
  2.3073E+00  1.7624E+00 -7.1396E+00 -3.4194E+00 -1.7949E+00 -4.2383E+00 -6.6913E+00  8.4616E-02  5.4942E-03  3.6910E+00  3.6918E+00  1.7968E+00  1.2493E+00  2.4297E+00  2.0324E+00 -8.3566E+00 -7.4195E+00 -5.5643E+00 -4.9547E+00  8.2099E+00  1.8051E+00  2.0086E+02  3.3982E+00
  2.8761E+00 -5.3927E-01 -2.1116E+00 -1.7299E+00 -1.5480E+00 -4.5018E+00 -2.8007E+00  8.0159E-02  2.8991E-03  2.9071E+00  8.8590E-01  1.6283E+00  1.6457E+00  2.4253E+00  1.8647E+00 -8.3601E+00 -4.7420E+00 -4.3003E+00 -3.5204E+00  2.1557E+01 -7.7065E-01  2.1322E+02  2.0055E+00
 -1.9000E+00 -1.6495E+00 -3.0330E+00 -8.8901E-01 -1.1496E-01 -2.0019E+00 -2.3767E+00  9.7834E-02  4.6377E-03  1.9621E+00  1.4154E+00  2.8765E+00  1.7107E+00  2.3787E+00  2.0477E+00 -8.8558E+00 -8.4533E+00 -7.9552E+00 -4.2791E+00  1.0434E+00  2.1856E+00  1.8638E+02  5.8689E+00
 -1.5372E+00 -1.7769E+00 -2.4651E+00  2.3256E+00  1.6670E+00  6.5758E-01 -6.5488E+00  7.5985E-02  4.1044E-03  2.9655E+00  1.2360E+00  2.1540E+00  1.5970E+00  2.4417E+00  1.7367E+00 -7.1090E+00 -7.0037E+00 -5.8397E+00 -3.9887E+00  3.4594E+00  2.6284E+00  2.1759E+02  1.9497E+01
 -3.0030E+00  1.1204E+00 -4.0313E+00  8.8570E-01  2.1688E+00  1.0498E+00  2.4387E+00  8.2531E-02  1.7633E-03  2.0473E+00  2.4903E+00  7.1266E-01  1.9149E+00  2.4193E+00  1.2861E+00 -7.9277E+00 -5.5749E+00 -4.9814E+00 -3.7927E+00  6.0975E-01  3.5928E+00  2.0520E+02  3.8315E+01
  1.9834E-02 -6.0113E+00 -3.7843E+00 -5.1492E+00 -1.5366E-01 -6.6487E+00 -2.2962E+00  1.0253E-01  5.6399E-03  2.7488E+00  2.3401E+00  1.9035E+00  1.1897E+00  2.3885E+00  2.1396E+00 -8.0786E+00 -6.8281E+00 -4.2761E+00 -3.5666E+00  1.0096E+01  3.1074E+00  1.8485E+02  2.3201E+01
  9.7276E-01 -5.9419E+00 -3.8777E+00 -3.8114E+00 -1.1603E+00 -3.9713E+00 -1.2236E+00  9.7205E-02  4.5901E-03  2.7473E+00  5.9641E-01  2.6155E+00  6.7872E-01  2.3993E+00  1.8066E+00 -8.7274E+00 -7.3766E+00 -6.8298E+00 -3.7367E+00  3.9323E+03  2.4607E+00  1.8995E+02  1.6013E+01
  2.0416E+00 -6.5392E+00  8.2018E-01 -3.7944E+00 -8.3457E+00 -3.9911E+00 -2.1620E+00  7.6960E-02  4.5859E-03  2.2732E+00  8.4834E-01  2.0413E+00  1.6476E+00  2.4416E+00  2.1717E+00 -6.6982E+00 -5.4150E+00 -4.1682E+00 -4.0784E+00  1.5701E+02  2.8911E+00  2.1703E+02  2.1456E+01
 -2.6237E+00  2.3039E-01  2.2189E+00  7.5146E-01  6.6621E-01 -1.1871E+00 -3.2186E+00  7.8294E-02  1.8637E-03  2.1673E+00  6.5237E-01  1.3026E+00  1.2688E+00  2.4300E+00  2.1466E+00 -7.2726E+00 -7.1773E+00 -5.8573E+00 -4.6680E+00  2.4287E-05  2.7564E+00  2.1486E+02  1.7896E+01
 -1.5834E+00 -7.6590E+00 -2.9267E+00  1.0736E+00  1.9731E+00 -2.0441E+00 -7.8810E+00  7.9046E-02  3.8122E-03  8.7218E-01  2.5954E+00  1.1819E+00  2.2249E+00  2.4258E+00  2.2770E+00 -8.5106E+00 -7.0234E+00 -5.9814E+00 -5.1913E+00  5.8131E-02  2.7807E+00  2.1390E+02  1.8502E+01
