#Kzz [cm^2/s]      P [bar]
   5.000E+008   1.921E-001
   5.000E+008   1.302E-001
   5.000E+008   8.821E-002
   5.000E+008   5.977E-002
   5.000E+008   4.050E-002
   5.000E+008   2.744E-002
   5.000E+008   1.859E-002
   5.000E+008   1.260E-002
   5.000E+008   8.535E-003
   5.000E+008   5.783E-003
   5.000E+008   3.918E-003
   5.000E+008   2.655E-003
   5.000E+008   1.799E-003
   5.000E+008   1.219E-003
   5.000E+008   8.258E-004
   5.000E+008   5.595E-004
   5.000E+008   3.791E-004
   5.000E+008   2.569E-004
   5.000E+008   1.740E-004
   5.000E+008   1.179E-004
   5.000E+008   7.990E-005
   5.000E+008   5.414E-005
   5.000E+008   3.668E-005
   5.000E+008   2.485E-005
   5.000E+008   1.684E-005
   5.000E+008   1.141E-005
   5.000E+008   7.731E-006
   5.000E+008   5.238E-006
   5.000E+008   3.549E-006
   5.000E+008   2.405E-006
   5.000E+008   1.629E-006
   5.000E+008   1.104E-006
   5.000E+008   7.480E-007
   5.000E+008   5.068E-007
   5.000E+008   3.434E-007
   5.000E+008   2.327E-007
   5.000E+008   1.577E-007
   5.000E+008   1.068E-007
   5.000E+008   7.238E-008
   5.000E+008   4.904E-008
   5.000E+008   3.323E-008
   5.000E+008   2.251E-008
   5.000E+008   1.525E-008
   5.000E+008   1.034E-008
   5.000E+008   7.003E-009
   5.000E+008   4.745E-009
   5.000E+008   3.215E-009
   5.000E+008   2.178E-009
   5.000E+008   1.476E-009
   5.000E+008   1.000E-009
