# pmax       H2          H2O         CO2         CH4         NH3         N2          Rp          Mp          Tpoint001   Tpoint002   Tpoint003   Tpoint004   Tpoint005   Tpoint006   Ppoint002   Ppoint003   Ppoint004   Ppoint005           C/O         [Z]        Teff         MMW
 -1.9870E+00  1.3825E+00 -5.9021E+00 -3.7391E+00 -2.8105E+00 -4.7266E+00 -1.7496E+00  7.1555E-02  5.5369E-03  2.1492E+00  2.0382E+00  2.1569E+00  9.8171E-01  2.4637E+00  1.6276E+00 -8.5516E+00 -7.0110E+00 -4.5071E+00 -2.8183E+00  1.1376E+01  3.6911E-01  2.2448E+02  2.0587E+00
 -1.5239E+00  5.2531E-01 -3.5191E+00 -4.3211E+00 -3.2120E+00 -6.5973E+00 -4.3858E+00  6.8989E-02  3.8813E-03  3.2634E+00  1.2988E+00  1.1815E+00  1.3431E+00  2.4666E+00  1.7364E+00 -7.6336E+00 -6.3966E+00 -4.4327E+00 -3.0762E+00  4.7260E+00 -5.0591E-02  2.3120E+02  2.0216E+00
 -2.9503E-01  2.0831E+00  2.2650E-01 -3.0813E+00 -2.0517E+00 -5.1357E+00 -1.3032E+00  7.0973E-02  4.5891E-03  1.1621E+00  1.6341E+00  2.8208E+00  1.6078E+00  2.4571E+00  1.9309E+00 -8.8985E+00 -8.6520E+00 -5.2344E+00 -3.0973E+00  1.6616E+00 -7.1228E-01  2.3236E+02  2.0063E+00
 -1.5587E+00 -4.1251E+00 -4.4308E+00 -4.9939E+00 -1.5731E+00  1.8533E+00 -6.9354E-01  9.3050E-02  1.8254E-03  5.8599E-01  1.0716E+00  9.9500E-01  2.4544E+00  2.3627E+00  3.0429E+00 -7.1039E+00 -5.6282E+00 -5.2503E+00 -3.1675E+00  5.7563E-03  9.2052E-01  1.9619E+02  2.2310E+00
 -1.8737E+00 -4.3846E-01 -7.6107E+00 -4.7721E+00 -2.5541E+00 -4.9001E+00 -7.9431E+00  8.0233E-02  3.8745E-03  6.3224E-01  2.8732E+00  1.6396E+00  1.2032E+00  2.4280E+00  2.1047E+00 -8.0928E+00 -6.5704E+00 -5.1875E+00 -4.3984E+00  4.6602E+02  2.5818E+00  2.1447E+02  1.6938E+01
 -1.0812E+00  1.7478E+00 -8.0057E+00 -3.4581E+00 -3.8167E+00 -5.6044E+00 -7.7032E+00  5.7500E-02  1.1643E-03  8.6043E-01  1.5387E+00  2.2619E+00  1.7091E+00  2.4676E+00  1.7065E+00 -6.0105E+00 -4.8193E+00 -4.1280E+00 -2.8596E+00  8.3045E+01  6.4300E-01  2.4702E+02  2.1097E+00
  2.3887E+00  5.1677E-01 -5.6119E+00 -4.6894E+00 -2.6071E+00 -8.5263E+00 -3.8591E-01  7.1197E-02  1.7461E-03  2.3317E+00  2.3304E+00  1.5264E+00  1.2886E+00  2.4560E+00  2.0552E+00 -6.9006E+00 -5.9911E+00 -4.4911E+00 -3.5833E+00  7.1896E-01 -1.9131E+00  2.2760E+02  2.0017E+00
 -1.4796E+00  5.6071E-01 -6.9261E+00 -4.6877E+00 -3.2372E+00 -5.7203E+00 -3.1970E-01  7.1425E-02  2.9179E-03  1.9705E+00  1.3211E+00  3.3083E+00  1.9200E+00  2.4669E+00  1.6736E+00 -7.5238E+00 -7.0466E+00 -4.2343E+00 -2.6524E+00  5.7492E+01  2.1545E+00  2.2934E+02  4.8792E+00
 -1.8064E+00  2.0523E+00 -8.0836E+00 -1.8731E+00 -7.5431E-01 -3.1686E+00 -2.6092E+00  7.2898E-02  5.2073E-03  3.1012E+00  2.6869E+00  1.2923E+00  7.6123E-01  2.4460E+00  2.2007E+00 -8.7020E+00 -7.6593E+00 -6.1453E+00 -4.7953E+00  1.4567E+01  2.1763E+00  2.2372E+02  5.0068E+00
 -4.5629E-01  8.3722E-01 -6.2977E+00 -5.3429E+00 -3.1621E+00 -6.0205E+00 -4.2757E-01  6.9520E-02  3.6977E-03  1.6418E+00  2.5346E+00  2.5546E+00  1.6036E+00  2.4838E+00  1.6828E+00 -8.4612E+00 -8.2579E+00 -5.9724E+00 -2.2921E+00  7.0729E+00  4.7893E-02  2.2870E+02  2.0287E+00
