#       P [bar]       C/O       [O]       [C]
     5.0420E+01     0.615    -1.586    -1.537
     3.0492E+01     0.615    -1.586    -1.537
     1.8440E+01     0.615    -1.586    -1.537
     1.1152E+01     0.615    -1.586    -1.537
     6.7441E+00     0.615    -1.586    -1.537
     4.0785E+00     0.615    -1.586    -1.537
     2.4665E+00     0.615    -1.586    -1.537
     1.4916E+00     0.615    -1.586    -1.537
     9.0207E-01     0.615    -1.586    -1.537
     5.4553E-01     0.615    -1.586    -1.537
     3.2991E-01     0.615    -1.586    -1.537
     1.9952E-01     0.615    -1.586    -1.537
     1.2066E-01     0.615    -1.586    -1.537
     7.2969E-02     0.615    -1.586    -1.537
     4.4128E-02     0.615    -1.586    -1.537
     2.6687E-02     0.615    -1.586    -1.537
     1.6139E-02     0.615    -1.586    -1.537
     9.7601E-03     0.615    -1.586    -1.537
     5.9025E-03     0.615    -1.586    -1.537
     3.5696E-03     0.615    -1.586    -1.537
     2.1587E-03     0.615    -1.586    -1.537
     1.3055E-03     0.615    -1.586    -1.537
     7.8950E-04     0.615    -1.586    -1.537
     4.7746E-04     0.615    -1.586    -1.537
     2.8874E-04     0.615    -1.586    -1.537
     1.7462E-04     0.615    -1.586    -1.537
     1.0560E-04     0.615    -1.586    -1.537
     6.3863E-05     0.615    -1.586    -1.537
     3.8622E-05     0.615    -1.586    -1.537
     2.3357E-05     0.615    -1.586    -1.537
     1.4125E-05     0.615    -1.586    -1.537
     8.5422E-06     0.615    -1.586    -1.537
     5.1659E-06     0.615    -1.586    -1.537
     3.1241E-06     0.615    -1.586    -1.537
     1.8893E-06     0.615    -1.586    -1.537
     1.1426E-06     0.615    -1.586    -1.537
     6.9098E-07     0.615    -1.586    -1.537
     4.1787E-07     0.615    -1.586    -1.537
     2.5271E-07     0.615    -1.586    -1.537
     1.5283E-07     0.615    -1.586    -1.537
     9.2424E-08     0.615    -1.586    -1.537
     5.5894E-08     0.615    -1.586    -1.537
     3.3802E-08     0.615    -1.586    -1.537
     2.0442E-08     0.615    -1.586    -1.537
     1.2362E-08     0.615    -1.586    -1.537
     7.4762E-09     0.615    -1.586    -1.537
     4.5213E-09     0.615    -1.586    -1.537
     2.7343E-09     0.615    -1.586    -1.537
     1.6536E-09     0.615    -1.586    -1.537
     1.0000E-09     0.615    -1.586    -1.537
