#Kzz [cm^2/s]      P [bar]
   5.000E+008   1.613E+000
   5.000E+008   1.046E+000
   5.000E+008   6.789E-001
   5.000E+008   4.404E-001
   5.000E+008   2.857E-001
   5.000E+008   1.854E-001
   5.000E+008   1.203E-001
   5.000E+008   7.803E-002
   5.000E+008   5.062E-002
   5.000E+008   3.284E-002
   5.000E+008   2.131E-002
   5.000E+008   1.382E-002
   5.000E+008   8.968E-003
   5.000E+008   5.818E-003
   5.000E+008   3.775E-003
   5.000E+008   2.449E-003
   5.000E+008   1.589E-003
   5.000E+008   1.031E-003
   5.000E+008   6.687E-004
   5.000E+008   4.338E-004
   5.000E+008   2.815E-004
   5.000E+008   1.826E-004
   5.000E+008   1.185E-004
   5.000E+008   7.686E-005
   5.000E+008   4.986E-005
   5.000E+008   3.235E-005
   5.000E+008   2.099E-005
   5.000E+008   1.362E-005
   5.000E+008   8.833E-006
   5.000E+008   5.731E-006
   5.000E+008   3.718E-006
   5.000E+008   2.412E-006
   5.000E+008   1.565E-006
   5.000E+008   1.015E-006
   5.000E+008   6.587E-007
   5.000E+008   4.273E-007
   5.000E+008   2.772E-007
   5.000E+008   1.799E-007
   5.000E+008   1.167E-007
   5.000E+008   7.570E-008
   5.000E+008   4.911E-008
   5.000E+008   3.186E-008
   5.000E+008   2.067E-008
   5.000E+008   1.341E-008
   5.000E+008   8.701E-009
   5.000E+008   5.645E-009
   5.000E+008   3.662E-009
   5.000E+008   2.376E-009
   5.000E+008   1.541E-009
   5.000E+008   1.000E-009
