#    T [K]      P [bar]     H2O            CO2            CH4            NH3            N2             H2        
   207.384   1.613E+000    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   226.975   1.046E+000    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   245.485   6.789E-001    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   262.572   4.404E-001    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   277.955   2.857E-001    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   291.430   1.854E-001    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   302.871   1.203E-001    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   312.229   7.803E-002    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   319.529   5.062E-002    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   324.862   3.284E-002    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   328.374   2.131E-002    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   330.254   1.382E-002    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   330.497   8.968E-003    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   314.035   5.818E-003    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   277.341   3.775E-003    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   230.078   2.449E-003    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   181.201   1.589E-003    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
   136.919   1.031E-003    4.4333E-006    2.9010E-006    4.9914E-005    1.0313E-007    2.5913E-004    9.9968E-001
