#   radius [cm]    height [cm]  dens [g/cm^3]   N [1/cm^3]     T [K]    P [bar]g [cm/s^2]       MMW
 4.3827604E+008    2.5812E+005    1.8793E-004  5.6333E+019   207.384 1.613E+000  3595.779     2.009
 4.3910125E+008    1.0833E+006    1.1140E-004  3.3393E+019   226.975 1.046E+000  3582.276     2.009
 4.4028536E+008    2.2674E+006    6.6822E-005  2.0031E+019   245.485 6.789E-001  3563.034     2.009
 4.4156584E+008    3.5479E+006    4.0531E-005  1.2150E+019   262.572 4.404E-001  3542.399     2.009
 4.4293635E+008    4.9184E+006    2.4840E-005  7.4460E+018   277.955 2.857E-001  3520.512     2.009
 4.4438925E+008    6.3713E+006    1.5370E-005  4.6073E+018   291.430 1.854E-001  3497.529     2.009
 4.4591592E+008    7.8980E+006    9.5949E-006  2.8762E+018   302.871 1.203E-001  3473.622     2.009
 4.4750708E+008    9.4892E+006    6.0383E-006  1.8101E+018   312.229 7.803E-002  3448.964     2.009
 4.4915319E+008    1.1135E+007    3.8280E-006  1.1475E+018   319.529 5.062E-002  3423.730     2.009
 4.5084470E+008    1.2827E+007    2.4427E-006  7.3222E+017   324.862 3.284E-002  3398.087     2.009
 4.5257246E+008    1.4555E+007    1.5678E-006  4.6996E+017   328.374 2.131E-002  3372.191     2.009
 4.5432790E+008    1.6310E+007    1.0113E-006  3.0316E+017   330.254 1.382E-002  3346.183     2.009
 4.5610269E+008    1.8085E+007    6.5564E-007  1.9654E+017   330.497 8.968E-003  3320.192     2.009
 4.5784720E+008    1.9829E+007    4.4766E-007  1.3419E+017   314.035 5.818E-003  3294.939     2.009
 4.5945948E+008    2.1442E+007    3.2885E-007  9.8577E+016   277.341 3.775E-003  3271.855     2.009
 4.6085187E+008    2.2834E+007    2.5717E-007  7.7091E+016   230.078 2.449E-003  3252.114     2.009
 4.6198661E+008    2.3969E+007    2.1185E-007  6.3505E+016   181.201 1.589E-003  3236.158     2.009
 4.6286815E+008    2.4850E+007    1.8189E-007  5.4525E+016   136.919 1.031E-003  3223.843     2.009
 4.6352776E+008    2.5510E+007    1.6106E-007  4.8279E+016   100.321 6.687E-004  3214.674     2.009
 4.6400816E+008    2.5990E+007    1.4552E-007  4.3622E+016    72.033 4.338E-004  3208.021     2.009
 4.6435233E+008    2.6334E+007    1.3276E-007  3.9795E+016    51.226 2.815E-004  3203.267     2.009
 4.6459749E+008    2.6580E+007    1.2100E-007  3.6270E+016    36.464 1.826E-004  3199.888     2.009
 4.6477301E+008    2.6755E+007    1.0901E-007  3.2677E+016    26.258 1.185E-004  3197.471     2.009
 4.6490068E+008    2.6883E+007    9.6056E-008  2.8794E+016    19.333 7.686E-005  3195.715     2.009
 4.6499605E+008    2.6978E+007    8.1908E-008  2.4553E+016    14.709 4.986E-005  3194.405     2.009
 4.6507003E+008    2.7052E+007    6.6868E-008  2.0044E+016    11.689 3.235E-005  3193.388     2.009
 4.6513029E+008    2.7112E+007    5.1709E-008  1.5500E+016     9.807 2.099E-005  3192.561     2.009
 4.6518240E+008    2.7164E+007    3.7487E-008  1.1237E+016     8.776 1.362E-005  3191.846     2.009
 4.6523075E+008    2.7213E+007    2.5219E-008  7.5598E+015     8.463 8.833E-006  3191.182     2.009
 4.6528070E+008    2.7263E+007    1.4818E-008  4.4418E+015     9.345 5.731E-006  3190.497     2.009
 4.6534070E+008    2.7323E+007    7.4629E-009  2.2371E+015    12.037 3.718E-006  3189.675     2.009
 4.6542336E+008    2.7405E+007    3.3476E-009  1.0035E+015    17.410 2.412E-006  3188.542     2.009
 4.6554857E+008    2.7531E+007    1.3911E-009  4.1700E+014    27.181 1.565E-006  3186.827     2.009
 4.6574870E+008    2.7731E+007    5.5706E-010  1.6698E+014    44.036 1.015E-006  3184.089     2.009
 4.6607287E+008    2.8055E+007    2.2355E-010  6.7013E+013    71.190 6.587E-007  3179.661     2.009
 4.6658475E+008    2.8567E+007    9.3501E-011  2.8028E+013   110.427 4.273E-007  3172.688     2.009
 4.6734351E+008    2.9326E+007    4.2383E-011  1.2705E+013   158.049 2.772E-007  3162.394     2.009
 4.6836181E+008    3.0344E+007    2.1631E-011  6.4840E+012   200.909 1.799E-007  3148.658     2.009
 4.6962343E+008    3.1606E+007    1.1666E-011  3.4969E+012   241.683 1.167E-007  3131.763     2.009
 4.7114427E+008    3.3126E+007    6.3356E-012  1.8992E+012   288.710 7.570E-008  3111.578     2.009
 4.7295468E+008    3.4937E+007    3.5082E-012  1.0516E+012   338.262 4.911E-008  3087.802     2.009
 4.7505710E+008    3.7039E+007    2.0054E-012  6.0114E+011   383.905 3.186E-008  3060.531     2.009
 4.7740992E+008    3.9392E+007    1.1982E-012  3.5918E+011   416.851 2.067E-008  3030.439     2.009
 4.7991543E+008    4.1898E+007    7.5818E-013  2.2727E+011   427.398 1.341E-008  2998.880     2.009
 4.8233560E+008    4.4318E+007    5.5320E-013  1.6583E+011   380.026 8.701E-009  2968.861     2.009
 4.8434135E+008    4.6323E+007    4.8158E-013  1.4436E+011   283.212 5.645E-009  2944.322     2.009
 4.8575699E+008    4.7739E+007    4.8709E-013  1.4601E+011   181.662 3.662E-009  2927.186     2.009
 4.8662791E+008    4.8610E+007    5.5739E-013  1.6708E+011   102.992 2.376E-009  2916.718     2.009
 4.8710652E+008    4.9089E+007    7.0271E-013  2.1065E+011    53.000 1.541E-009  2910.989     2.009
 4.8730842E+008    4.9290E+007    9.5045E-013  2.8491E+011    25.422 1.000E-009  2908.577     2.009
